16-19,20-24,25-29,30_34,35_over
0.044827586,0.061111111,0.064638783,0.064638783,0.064638783
0.365517241,0.427777778,0.498098859,0.498098859,0.498098859
0.386206897,0.316666667,0.269961977,0.269961977,0.269961977
0.203448276,0.194444444,0.16730038,0.16730038,0.16730038
