ILOC_CODE_2016,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC30700102,31,37,32,68,84,81,162,3,10,16,15,15,31,106,104,207
ILOC30700103,7,30,20,51,29,21,52,4,0,3,9,0,10,39,28,63
ILOC30700104,172,169,182,348,248,273,518,71,77,147,87,82,170,409,430,838
ILOC30700105,35,64,62,125,170,174,346,12,6,17,13,22,35,195,205,399
ILOC30700201,15,29,24,49,44,60,105,0,3,6,6,6,15,58,69,121
ILOC30700202,3,16,19,38,31,42,75,0,3,6,0,3,3,29,51,81
ILOC30700203,8,21,22,51,100,75,173,3,3,3,4,7,15,104,85,193
ILOC30700301,10,12,14,29,115,122,234,8,5,15,3,8,10,128,136,259
ILOC30700302,3,8,8,20,41,27,66,0,0,0,3,0,3,37,27,68
ILOC30700303,0,3,3,10,36,40,71,0,0,0,0,0,0,36,40,71
ILOC30700304,0,12,12,20,36,38,77,0,0,0,0,0,0,36,37,78
ILOC30700401,4,20,13,32,51,55,109,0,0,0,4,3,7,55,54,111
ILOC30700402,0,0,3,3,24,30,54,0,0,0,0,0,0,20,31,54
ILOC30700403,0,4,0,4,36,41,76,0,0,3,0,0,0,39,46,77
ILOC30700404,0,4,8,17,35,36,71,0,0,0,0,0,0,39,43,78
ILOC30700501,0,17,21,39,54,54,106,0,0,3,0,0,0,58,58,111
ILOC30700502,6,47,42,81,90,80,169,0,0,0,8,0,7,98,87,179
ILOC30700503,0,0,0,0,16,10,28,3,0,4,0,0,0,22,13,30
ILOC30800101,1216,842,692,1535,168,172,344,967,986,1952,709,564,1275,1849,1719,3568
ILOC30800201,512,375,367,742,135,122,257,659,744,1407,262,261,520,1058,1130,2180
ILOC30800202,497,391,333,724,59,67,125,852,838,1694,283,243,521,1199,1140,2340
ILOC30800301,627,412,465,881,201,191,394,850,884,1741,303,349,649,1357,1431,2788
ILOC30800401,524,365,311,678,43,49,91,514,556,1068,288,250,539,843,854,1702
ILOC30800501,380,298,276,578,155,40,199,527,568,1101,218,186,401,901,798,1695
ILOC30800502,291,208,235,438,51,54,111,335,383,721,140,158,301,531,594,1125
ILOC30800601,5185,3780,2807,6585,772,944,1715,8299,9121,17423,3168,2141,5310,12238,12206,24443
ILOC30800701,961,733,538,1269,68,72,139,1267,1304,2572,586,415,998,1920,1787,3710
ILOC30800801,668,504,326,829,53,69,127,946,1015,1960,432,275,704,1435,1352,2790
ILOC30800901,27,58,46,102,306,282,583,8,19,21,20,7,27,328,305,632
ILOC30801001,2612,1683,1403,3084,111,126,231,1822,1997,3815,1467,1207,2669,3396,3324,6723
ILOC30801101,960,695,557,1249,143,146,290,1097,1171,2263,568,411,984,1808,1720,3535
ILOC30801201,3839,2590,2395,4979,1251,1338,2594,8120,9447,17565,2103,1884,3989,11471,12670,24146
ILOC30801301,6733,4473,3769,8239,1108,1219,2331,10966,12458,23424,3821,3070,6889,15896,16752,32641
ILOC30801401,501,336,285,622,46,54,99,533,603,1140,293,233,527,876,887,1762
ILOC30801402,529,1103,498,1597,463,135,601,908,721,1629,313,243,553,1679,1103,2786
ILOC30801501,667,434,385,822,75,64,136,570,580,1149,379,317,695,1022,955,1982
ILOC30801502,5,5,8,13,18,10,29,3,3,12,4,3,5,25,21,45
ILOC30801503,142,106,110,215,39,59,96,171,146,321,70,77,148,275,284,565
ILOC39499494,1706,1598,1045,2650,225,166,391,809,692,1499,1007,720,1732,2039,1581,3621
ILOC39799797,15,6,12,21,0,0,0,5,7,15,6,9,15,14,18,33
ILOC40100101,1933,1514,1032,2552,83,53,135,4073,4115,8188,1095,881,1973,5249,5045,10290
ILOC40100102,1087,724,719,1444,46,46,89,3705,3678,7384,579,556,1137,4329,4277,8612
ILOC40100201,1456,970,952,1925,43,42,80,4555,4892,9444,802,732,1538,5395,5667,11065
ILOC40100202,1413,989,1058,2046,70,94,164,4062,4531,8597,734,761,1494,4870,5381,10251
ILOC40100301,2027,1500,1435,2930,109,122,228,5085,5263,10347,1114,1028,2136,6306,6409,12718
ILOC40100401,206,168,167,333,40,42,84,386,357,744,114,105,220,535,512,1049
ILOC40100402,350,266,248,509,61,60,121,656,652,1312,196,176,371,915,882,1801
ILOC40100501,1284,1051,1055,2107,72,71,149,6529,6548,13081,701,667,1373,7305,7290,14602
ILOC40100502,1411,911,985,1891,50,46,99,4544,4659,9203,712,751,1466,5303,5461,10761
ILOC40100601,1248,873,890,1761,58,87,138,3263,3371,6636,668,632,1307,3983,4096,8081
ILOC40100602,804,605,656,1257,55,67,125,2695,2857,5557,409,418,830,3168,3349,6510
ILOC40100603,857,701,796,1495,60,78,137,2713,2898,5611,432,485,916,3207,3468,6672
ILOC40100604,1261,945,906,1849,124,106,226,3704,3983,7688,690,615,1305,4516,4707,9218
ILOC40100701,2575,1857,1927,3784,137,149,287,4180,4787,8968,1378,1322,2693,5692,6256,11950
ILOC40100801,1044,756,747,1499,77,96,172,2762,3120,5884,549,552,1101,3389,3765,7161
ILOC40100901,1673,1001,1146,2143,44,44,88,3630,4014,7640,824,879,1708,4497,4937,9430
ILOC40100902,2220,1541,1729,3272,114,112,228,6972,7727,14701,1139,1148,2291,8228,8990,17217
ILOC40101001,501,369,383,751,50,73,123,1010,1138,2152,280,260,542,1346,1471,2814
ILOC40101002,542,624,397,1022,62,37,93,920,750,1669,289,278,564,1274,1061,2335
ILOC40101101,1410,953,1055,2008,121,104,225,4321,4923,9246,711,751,1462,5155,5777,10931
ILOC40101102,1037,719,795,1514,58,71,131,3192,3389,6587,545,545,1088,3794,4006,7798
ILOC40101103,471,364,358,721,37,45,78,2688,2911,5595,265,241,504,2987,3192,6176
ILOC40101201,967,1136,799,1935,255,178,435,2244,2174,4417,528,490,1013,3024,2842,5872
ILOC40101301,67,45,50,90,22,24,44,37,60,98,33,40,68,89,116,210
ILOC40101302,389,304,309,614,31,26,60,694,746,1439,224,191,417,948,968,1916
ILOC40101303,0,0,0,3,18,23,40,0,0,0,0,0,0,18,23,40
ILOC40101401,3040,2231,2294,4524,291,335,627,10961,11694,22656,1586,1596,3184,12840,13623,26464
ILOC40101402,1428,859,1016,1877,112,118,229,1966,2139,4109,690,793,1490,2771,3050,5827
ILOC40101403,2285,1591,1653,3245,181,174,351,5628,6173,11807,1192,1219,2403,6997,7565,14562
ILOC40101501,1105,847,834,1684,162,189,346,2263,2455,4723,583,564,1147,3007,3208,6216
ILOC40101502,944,683,702,1386,112,130,246,3293,3469,6760,503,491,997,3915,4086,7999
ILOC40101503,1803,1463,1478,2938,281,286,566,3147,3349,6501,943,944,1891,4370,4582,8953
ILOC40101504,832,636,590,1218,81,81,160,2079,2283,4363,454,417,876,2610,2783,5391
ILOC40101601,1029,747,818,1565,167,194,366,2726,3034,5763,509,575,1079,3406,3804,7206
ILOC40101602,1372,1677,1265,2941,239,183,429,5321,5192,10508,715,718,1429,6273,6094,12371
ILOC40101603,1045,873,799,1675,103,105,208,3041,3009,6051,562,524,1085,3705,3638,7344
ILOC40101604,836,634,706,1338,67,60,125,2430,2564,4993,419,464,886,2922,3091,6009
ILOC40101605,495,353,367,721,65,76,142,1057,1169,2224,267,252,517,1386,1499,2884
ILOC40101701,554,418,422,834,54,55,110,907,947,1859,287,293,581,1257,1296,2554
ILOC40101801,1069,953,941,1889,107,135,246,3808,4099,7907,588,555,1144,4510,4787,9295
ILOC40101802,807,608,658,1260,73,94,166,2402,2678,5074,421,412,834,2892,3186,6077
ILOC40101803,1242,957,1005,1961,124,123,243,4262,4316,8572,644,657,1299,5026,5093,10116
ILOC40101804,1893,1421,1413,2840,226,223,447,6199,6557,12758,1029,947,1976,7451,7730,15179
ILOC40101901,1852,1968,1446,3415,166,123,289,4505,4070,8577,1025,931,1956,5695,5125,10821
ILOC40101902,1097,838,905,1744,129,118,248,2789,3181,5967,559,589,1155,3479,3884,7363
ILOC40102001,2611,1931,2114,4040,200,198,396,11256,11950,23210,1359,1384,2742,12814,13533,26344
ILOC40102101,1315,928,1031,1963,23,41,62,6136,6543,12674,680,708,1391,6839,7283,14127
ILOC40102102,1993,1370,1422,2790,60,87,142,8667,9474,18140,1061,1020,2085,9786,10582,20368
ILOC40102103,1467,914,990,1906,29,29,55,4858,5394,10253,751,761,1510,5631,6192,11824
ILOC40102201,818,578,595,1175,46,52,103,1586,1702,3280,443,419,861,2071,2172,4242
ILOC40102301,907,747,758,1508,92,93,188,1507,1467,2969,483,472,954,2081,2031,4115
ILOC40102302,22,15,15,32,18,17,35,17,23,37,13,9,22,48,54,97
ILOC40102303,416,372,347,720,35,34,68,852,882,1737,246,200,444,1124,1116,2240
ILOC40200101,31,32,41,69,70,58,130,0,0,0,15,18,36,86,80,166
ILOC40200102,3,8,0,14,19,11,29,0,0,0,3,0,3,15,11,33
ILOC40200103,6,11,21,31,34,48,79,0,4,3,0,7,6,35,57,97
ILOC40200104,4,11,12,23,18,20,41,0,0,3,0,4,4,17,26,49
ILOC40200105,27,25,20,50,28,24,60,3,3,3,15,14,27,41,38,86
ILOC40200106,3,8,3,6,12,13,22,0,0,0,0,0,5,14,12,29
ILOC40200107,18,21,29,50,40,33,78,0,0,0,6,14,18,43,48,94
ILOC40200108,3,12,24,32,34,41,69,3,3,5,3,3,3,35,44,80
ILOC40200109,19,18,19,35,58,58,117,10,5,15,6,13,19,74,77,150
ILOC40200110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
