ILOC_CODE_2016,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC50500806,202,182,146,325,18,31,45,766,760,1528,116,93,213,902,874,1779
ILOC50500807,654,571,539,1106,82,86,167,1560,1696,3257,365,303,672,2011,2088,4097
ILOC50500808,758,604,547,1153,65,113,183,2771,2914,5683,423,365,788,3255,3396,6652
ILOC50500901,1690,1289,1124,2413,75,81,154,7346,7629,14981,998,776,1770,8421,8481,16901
ILOC50500902,3141,2196,2082,4277,105,143,245,12602,12903,25508,1768,1540,3309,14473,14588,29062
ILOC50501001,600,416,428,839,83,57,138,1253,1388,2640,314,295,612,1649,1747,3393
ILOC50501002,729,502,460,958,61,55,119,1298,1434,2734,397,351,749,1758,1841,3591
ILOC50501003,1245,924,891,1814,62,122,189,4085,4341,8430,684,608,1296,4833,5074,9909
ILOC50501101,1422,1026,982,2011,156,129,282,1914,2224,4136,766,690,1453,2832,3038,5871
ILOC50501102,875,1563,530,2092,406,79,487,3101,2505,5604,494,407,908,4004,2993,6996
ILOC50501201,2210,1520,1668,3189,66,69,136,6994,7611,14606,1156,1134,2298,8223,8817,17039
ILOC50501202,1428,1066,1079,2147,108,78,183,6256,6157,12411,771,712,1485,7138,6945,14079
ILOC50501301,1328,2830,884,3712,642,96,743,4863,3755,8619,757,626,1381,6267,4476,10744
ILOC50501302,349,243,271,520,64,64,124,728,823,1550,191,174,362,975,1065,2043
ILOC50501401,5434,3235,2868,6102,58,68,120,5501,6010,11515,2914,2574,5490,8472,8651,17124
ILOC50501402,4303,2735,2787,5516,116,130,244,12887,12991,25873,2230,2194,4428,15228,15314,30544
ILOC50501501,2635,1834,1799,3635,268,316,582,5245,5683,10928,1411,1301,2710,6926,7298,14223
ILOC50501502,1591,1085,1046,2132,67,97,164,2372,2470,4842,854,793,1646,3295,3354,6647
ILOC50501503,3138,2034,1822,3863,148,150,294,6982,7742,14727,1743,1489,3234,8867,9385,18254
ILOC50501601,1300,1264,826,2088,138,116,262,3419,3273,6692,723,619,1347,4278,4019,8301
ILOC50501701,2337,1449,1523,2970,156,102,260,5596,5514,11103,1208,1186,2395,6958,6801,13756
ILOC50501702,2427,1717,1749,3466,89,125,211,4305,4631,8935,1300,1160,2462,5699,5919,11610
ILOC50501801,3514,2275,2358,4636,107,95,205,8888,9394,18285,1839,1769,3612,10842,11261,22105
ILOC50501802,2335,1691,1857,3547,115,137,257,6280,6842,13121,1198,1224,2415,7584,8200,15791
ILOC50501803,1153,819,795,1614,68,61,133,2103,2145,4245,613,579,1194,2788,2783,5573
ILOC50501804,4604,3029,3190,6220,108,131,237,8941,9526,18467,2364,2334,4702,11413,11992,23399
ILOC50501901,616,511,461,973,89,65,157,2671,2809,5477,346,297,644,3105,3177,6283
ILOC50501902,1069,839,773,1608,143,139,283,2708,2810,5523,591,525,1118,3445,3475,6916
ILOC50501903,139,104,82,180,16,21,41,155,166,321,74,65,138,249,249,499
ILOC50501904,1900,1254,1609,2860,104,299,399,4002,4469,8471,1000,950,1958,5110,5722,10828
ILOC50501905,1271,933,1000,1933,161,163,321,3826,4058,7882,695,651,1342,4680,4870,9547
ILOC50501906,429,361,338,699,34,29,55,987,854,1838,223,218,442,1238,1099,2333
ILOC50501907,413,293,346,633,28,32,64,435,558,994,206,211,425,672,807,1476
ILOC50501908,452,296,296,591,72,85,156,595,549,1143,234,234,472,905,863,1769
ILOC50501909,290,223,209,437,49,59,109,882,873,1758,165,142,306,1094,1071,2169
ILOC50502001,4084,3197,3099,6293,305,298,597,15042,15947,30994,2262,2008,4267,17606,18253,35860
ILOC50502101,4519,3023,3139,6158,281,271,553,9738,10193,19923,2352,2316,4672,12373,12779,25147
ILOC50600101,1180,1015,211,1219,17,5,22,137,41,179,979,204,1182,1133,250,1381
ILOC50600102,18,22,14,37,54,48,105,0,0,0,9,5,18,64,58,119
ILOC50600103,0,3,3,3,19,20,43,0,0,0,0,0,0,19,27,45
ILOC50600104,3,0,0,5,8,3,12,0,0,0,0,0,3,13,6,15
ILOC50600105,13,15,10,27,15,14,25,13,9,15,11,3,13,38,26,60
ILOC50600106,633,473,272,748,113,101,219,405,463,869,418,226,644,934,790,1724
ILOC50600107,9,10,16,24,18,19,37,3,6,10,4,6,9,25,28,58
ILOC50600108,7,6,3,12,19,18,36,3,3,4,3,4,7,27,25,48
ILOC50600109,0,0,3,3,26,18,40,0,0,0,0,0,0,26,16,42
ILOC50600110,3,7,0,6,21,12,34,0,0,0,0,0,3,22,12,37
ILOC50600201,1832,1630,371,1995,58,53,111,631,474,1107,1530,317,1845,2219,842,3066
ILOC50600202,87,60,58,118,21,27,49,50,57,108,49,39,89,119,125,249
ILOC50600203,131,98,54,158,30,20,49,162,151,314,93,44,133,278,213,493
ILOC50600204,201,150,105,254,45,40,92,276,252,523,126,85,211,441,381,822
ILOC50600301,1565,1121,851,1970,316,303,621,1631,1609,3236,927,681,1606,2872,2592,5467
ILOC50600401,3,16,16,38,27,30,54,0,0,0,3,0,3,25,31,55
ILOC50600402,105,92,36,131,22,26,52,36,21,62,75,25,104,136,78,215
ILOC50600403,496,353,258,611,35,39,75,404,441,844,290,222,513,732,706,1436
ILOC50600404,1295,823,752,1572,333,309,642,674,794,1467,690,620,1306,1700,1721,3423
ILOC50600405,3,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3
ILOC50600501,37,192,53,242,190,50,242,149,107,258,19,18,43,356,180,540
ILOC50600502,372,325,60,384,8,11,16,172,140,317,314,56,372,496,211,704
ILOC50600503,15,9,12,26,13,25,39,6,4,6,7,5,10,22,36,59
ILOC50600504,31,26,29,58,54,50,101,11,7,17,17,13,30,80,76,154
ILOC50600505,230,214,61,276,51,44,95,121,130,253,199,40,235,365,216,588
ILOC50700101,930,641,691,1334,113,110,223,1570,1750,3319,472,490,960,2157,2346,4502
ILOC50700102,853,1056,565,1625,286,79,368,2409,2192,4599,476,429,905,3170,2703,5875
ILOC50700201,1409,1408,838,2251,111,96,213,2032,1664,3701,779,676,1451,2927,2438,5360
ILOC50700202,98,65,67,134,10,20,26,66,72,136,50,47,99,126,138,261
ILOC50700203,100,68,68,139,17,14,30,104,120,225,54,46,100,172,184,352
ILOC50700204,54,32,33,68,7,8,18,31,35,69,26,22,56,72,66,139
ILOC50700205,233,161,154,314,16,22,39,225,233,459,123,115,239,365,367,730
ILOC50700301,922,608,618,1228,37,46,85,1419,1562,2981,483,465,943,1934,2075,4012
ILOC50700302,230,167,147,314,24,44,70,424,436,862,132,103,236,588,582,1170
ILOC50700303,178,446,121,564,120,21,144,603,436,1039,89,96,177,813,554,1367
ILOC50700304,357,248,254,503,47,57,97,411,473,887,193,177,374,650,709,1356
ILOC50700305,241,155,184,344,43,42,86,270,271,544,121,128,242,430,446,874
ILOC50700401,2108,1458,1466,2921,127,135,259,3926,4302,8231,1127,1055,2190,5181,5495,10673
ILOC50700501,316,210,203,419,48,50,100,506,469,977,174,160,328,726,677,1406
ILOC50700502,319,247,165,411,15,23,42,241,211,449,202,124,326,457,360,816
ILOC50700601,1689,1112,1076,2186,121,134,257,3060,3188,6246,902,853,1749,4081,4170,8248
ILOC50700701,245,157,151,305,30,24,50,185,194,381,125,125,250,343,339,680
ILOC50700702,313,213,195,413,32,30,64,311,383,700,170,146,323,516,562,1079
ILOC50700703,99,67,66,138,28,29,56,79,73,146,55,54,111,155,156,311
ILOC50700801,293,211,145,352,27,23,58,215,232,451,181,119,300,425,382,810
ILOC50700802,373,250,234,486,49,38,82,319,364,683,196,199,392,563,603,1162
ILOC50700901,4502,3239,3087,6326,337,355,696,8659,9715,18369,2452,2164,4618,11447,12241,23688
ILOC50701001,863,643,574,1210,56,49,102,1124,1064,2182,452,435,889,1634,1546,3177
ILOC50701002,683,431,472,901,73,61,133,881,948,1827,345,360,700,1299,1365,2662
ILOC50701101,1129,792,679,1465,69,76,144,1366,1425,2794,629,534,1161,2058,2041,4101
ILOC50701102,199,136,134,267,39,46,87,216,219,433,104,102,203,356,367,724
ILOC50701201,210,143,113,261,20,12,24,240,259,500,126,96,222,381,367,745
ILOC50701202,724,488,447,936,61,62,122,953,1113,2065,399,355,751,1410,1527,2938
ILOC50701203,383,244,260,502,24,25,49,382,408,795,194,211,405,604,641,1244
ILOC50701301,486,317,305,621,64,75,139,424,372,799,255,253,506,742,706,1447
ILOC50701302,846,594,555,1145,92,91,185,852,994,1846,459,418,874,1403,1507,2909
ILOC50701401,513,371,358,726,85,107,196,619,658,1274,269,264,533,976,1029,2004
ILOC50701501,974,668,621,1291,44,38,82,1527,1595,3123,532,474,1004,2103,2105,4212
ILOC50701502,517,355,351,701,16,18,40,689,758,1446,261,269,533,970,1048,2016
ILOC50701503,1592,1084,1006,2092,125,144,272,3701,4172,7870,867,781,1650,4688,5103,9789
ILOC50701504,617,442,467,913,63,72,135,856,908,1763,329,311,632,1243,1285,2527
ILOC50701505,484,292,310,598,13,21,38,528,574,1105,245,253,495,790,849,1633
ILOC50800101,269,227,250,476,215,214,431,133,162,292,130,143,268,480,514,994
ILOC50800102,0,0,0,0,12,17,26,0,0,0,0,0,0,12,17,26
ILOC50800103,3,18,13,29,45,64,112,0,0,0,3,0,3,49,64,115
ILOC50800201,106,58,73,130,29,23,50,20,20,40,47,61,111,94,106,201
ILOC50800202,8,9,8,12,7,4,11,0,7,6,3,0,8,14,13,22
ILOC50800203,20,21,19,42,41,46,86,3,4,8,10,11,20,57,55,113
ILOC50800204,3,0,4,3,14,8,20,0,0,0,0,3,3,14,9,23
ILOC50800205,7,11,15,23,45,69,116,0,3,3,3,4,7,51,74,128
ILOC50800301,0,20,13,26,60,57,114,0,0,0,0,0,0,60,57,118
ILOC50800302,3,0,0,3,6,6,10,0,0,0,0,0,3,7,8,12
ILOC50800303,6,10,10,15,23,27,50,3,3,3,4,0,5,34,34,62
ILOC50800304,0,0,0,0,6,11,16,0,0,0,0,0,0,6,11,16
ILOC50800305,0,11,5,17,19,10,28,0,3,3,0,0,0,19,14,30
ILOC50800306,3,4,6,5,23,28,52,0,0,3,3,6,3,23,31,56
ILOC50800307,5,7,4,10,22,34,59,3,0,3,5,0,5,30,34,62
ILOC50800308,0,4,3,12,36,30,68,0,0,0,0,0,0,36,30,68
ILOC50800401,0,5,3,7,15,11,27,0,0,0,0,0,0,15,9,27
ILOC50800402,4,3,0,4,10,12,27,0,3,3,3,0,4,16,19,35
ILOC50800403,7,6,12,17,68,63,134,0,0,0,3,3,7,72,63,137
ILOC50800404,53,186,53,244,177,47,228,20,22,47,32,24,55,234,96,327
ILOC50800405,0,8,0,8,23,21,42,0,0,0,0,0,0,23,21,42
ILOC59499494,802,982,607,1592,194,162,363,553,332,881,466,341,812,1215,838,2049
ILOC59799797,72,70,8,75,0,0,0,22,0,22,67,8,68,87,6,94
ILOC60100101,1170,907,1000,1902,288,315,600,2460,2769,5234,590,631,1221,3337,3713,7049
ILOC60100102,774,670,735,1408,243,231,475,1687,1850,3533,406,399,808,2334,2478,4812
ILOC60100103,154,107,119,226,42,33,78,225,271,489,87,79,163,351,385,732
ILOC60100201,257,191,183,381,21,17,41,344,357,702,134,132,265,502,516,1016
ILOC60100202,116,115,89,205,19,29,46,161,176,344,68,46,116,250,248,499
ILOC60100203,528,418,438,856,91,98,187,1056,1052,2109,280,295,575,1426,1444,2867
ILOC60100204,513,394,408,795,27,44,69,870,965,1830,267,264,525,1163,1271,2432
ILOC60100205,326,262,251,516,54,62,112,622,631,1249,176,172,355,855,861,1714
ILOC60100301,857,662,722,1387,304,293,600,1721,1801,3519,451,478,930,2474,2575,5045
ILOC60100302,2012,1892,1602,3497,433,354,789,6145,6131,12274,1046,1100,2140,7629,7583,15210
ILOC60100303,2453,1719,1912,3631,403,448,848,4795,5213,10005,1260,1325,2587,6457,6984,13437
ILOC60100304,2589,1603,1583,3189,144,140,285,6864,7126,13990,1361,1307,2670,8375,8567,16944
ILOC60100401,63,42,52,95,36,30,67,86,66,155,30,37,66,147,131,283
ILOC60100402,41,33,31,66,19,19,41,43,55,100,19,18,37,81,90,175
ILOC60100403,791,581,571,1156,224,224,446,1304,1418,2717,417,416,830,1943,2049,3993
ILOC60100501,1298,951,945,1898,238,226,464,4310,4544,8851,717,664,1380,5263,5433,10699
ILOC60100601,3680,2506,2680,5190,437,452,894,7442,7696,15138,1846,1977,3822,9727,10122,19849
ILOC60100701,356,239,290,526,35,34,75,942,980,1921,175,196,370,1157,1211,2364
ILOC60100702,346,264,255,520,62,54,111,600,591,1187,179,183,365,842,818,1666
ILOC60100703,607,463,461,921,76,80,150,1024,1081,2103,321,313,633,1416,1470,2887
ILOC60100801,368,295,268,562,36,55,90,463,497,962,200,173,372,699,726,1428
ILOC60100802,373,302,273,575,37,35,75,630,657,1282,202,183,389,872,880,1748
ILOC60100803,37,39,34,74,18,10,31,56,54,109,21,12,37,103,76,180
ILOC60100804,499,351,343,693,58,62,119,609,695,1305,276,246,519,942,1000,1942
ILOC60100901,299,221,217,439,47,36,85,265,276,540,151,157,305,466,467,931
ILOC60100902,716,496,540,1037,105,105,218,1372,1533,2912,365,382,747,1846,2021,3870
ILOC60100903,240,145,166,310,16,19,38,156,174,338,121,128,251,304,320,623
ILOC60101001,839,659,719,1376,227,287,517,1843,2124,3960,446,456,903,2519,2861,5379
ILOC60101002,580,438,442,878,240,242,477,770,766,1531,308,307,615,1315,1314,2629
ILOC60101003,163,143,119,262,58,56,110,352,343,698,99,79,182,510,473,984
ILOC60101004,513,393,411,806,140,133,275,867,931,1795,268,268,533,1269,1329,2599
ILOC60101005,254,199,184,384,51,51,104,357,341,699,141,132,277,548,527,1074
ILOC60101101,490,399,398,796,97,64,161,934,976,1909,255,247,509,1287,1290,2577
ILOC60101102,1117,786,801,1593,125,129,255,2681,2920,5599,603,575,1171,3401,3625,7025
ILOC69499494,92,119,61,181,13,9,20,95,79,174,58,31,91,165,121,285
ILOC69799797,4,4,0,4,0,0,0,0,4,6,4,0,4,3,4,7
ILOC70100101,401,268,271,536,126,144,275,317,364,686,219,200,413,666,710,1373
ILOC70100102,466,284,285,568,144,135,279,390,471,859,235,238,475,764,846,1618
ILOC70100103,223,140,134,269,25,18,41,118,134,252,118,113,227,261,268,528
ILOC70100104,49,31,26,57,3,0,3,38,33,71,22,28,49,64,61,125
ILOC70100105,398,256,282,537,188,204,391,459,540,996,195,211,407,845,949,1793
ILOC70100106,426,249,277,523,47,73,125,338,397,737,209,220,425,594,697,1286
ILOC70100107,477,264,297,560,116,96,210,434,514,954,243,246,494,798,861,1654
ILOC70100108,0,0,0,0,0,0,0,7,8,15,0,0,0,7,8,15
ILOC70100109,0,9,10,24,36,39,70,0,0,0,0,0,0,36,36,68
ILOC70100201,9,6,17,19,10,18,26,0,0,0,0,3,9,12,25,33
ILOC70100202,17,39,26,70,48,40,91,0,3,3,14,3,17,64,49,110
ILOC70100203,3,19,26,46,43,44,85,0,0,3,4,3,3,43,52,91
ILOC70100204,0,4,0,3,17,8,24,0,0,0,0,0,0,17,8,24
ILOC70100205,3,4,3,11,3,3,9,0,0,0,0,0,3,4,4,12
ILOC70100206,0,7,3,10,23,17,42,0,0,0,0,0,0,23,17,42
ILOC70100207,0,14,8,24,19,27,40,0,0,0,0,0,0,18,27,42
ILOC70200102,35,19,29,52,81,83,162,0,6,3,15,20,35,92,102,199
ILOC70200103,96,597,117,717,522,83,607,48,8,61,47,47,96,620,148,765
ILOC70200104,3,18,13,33,31,37,69,0,0,0,4,3,3,37,42,80
ILOC70200201,11,18,21,36,93,76,165,0,3,6,9,3,11,96,81,182
ILOC70200301,6,5,9,12,5,10,20,6,3,7,8,0,12,19,17,32
ILOC70200302,4,3,4,12,0,8,4,3,5,3,3,3,3,4,14,15
ILOC70200303,4,12,29,40,43,46,87,0,0,0,0,4,4,47,50,89
ILOC70200304,3,5,13,15,15,24,40,0,0,0,0,3,3,15,24,36
ILOC70200305,0,3,3,3,24,21,51,0,0,0,0,0,0,24,21,51
ILOC70200306,0,6,0,8,9,9,22,0,0,0,0,0,0,8,9,24
ILOC70200401,11,7,3,13,32,23,51,0,0,3,7,4,11,36,30,66
ILOC70200402,17,13,8,22,3,4,3,0,0,5,14,3,17,13,8,22
ILOC70200501,7,6,13,19,30,36,66,8,7,10,4,3,7,38,47,85
ILOC70200502,27,29,20,47,22,24,44,14,13,21,20,5,27,53,38,90
ILOC70200503,0,4,0,4,22,9,33,0,0,0,0,0,0,22,9,33
ILOC70200601,5,11,4,21,32,20,53,0,0,4,7,0,5,46,21,64
ILOC70200602,0,8,4,14,23,32,52,0,0,0,0,0,0,30,29,61
ILOC70200701,14,26,60,85,81,104,183,0,0,0,0,9,9,81,115,199
ILOC70200801,32,37,34,76,44,57,103,4,3,6,22,14,32,71,71,139
ILOC70200802,45,27,34,60,10,12,20,10,4,9,24,24,45,32,48,85
ILOC70200901,3,25,27,49,30,40,68,0,0,0,3,0,7,33,42,75
ILOC70200902,222,165,132,295,50,68,115,64,78,145,127,93,226,240,239,480
ILOC70201001,0,3,3,10,34,34,66,0,3,3,0,0,0,37,39,72
ILOC70201002,12,11,0,11,7,0,9,7,3,6,7,0,12,18,9,26
ILOC70201101,19,23,25,57,65,56,124,3,0,3,6,12,20,77,69,145
ILOC70201102,0,3,4,10,16,17,35,0,0,0,0,0,0,16,17,35
ILOC70201201,0,8,4,15,7,11,15,0,0,0,0,0,0,7,11,15
ILOC70201202,3,3,0,4,11,3,15,0,0,0,0,0,3,10,5,21
ILOC70201203,0,9,12,20,16,25,38,0,0,0,0,0,0,16,25,38
ILOC70201204,8,8,9,20,64,69,138,3,3,7,4,4,8,75,76,149
ILOC70201301,3,14,24,42,59,78,129,3,0,4,0,0,3,56,82,142
ILOC70201302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70201401,6,12,10,21,24,28,50,0,3,4,3,3,6,31,29,57
ILOC70201402,7,47,42,88,58,52,110,0,0,0,0,0,7,62,55,115
ILOC70201403,11,95,87,173,91,78,176,8,3,12,7,9,11,110,94,201
ILOC70201404,0,3,4,7,21,17,33,0,0,0,0,0,0,21,17,33
ILOC70201501,0,7,11,16,40,42,81,3,3,6,0,0,0,40,50,88
ILOC70201601,7,8,13,18,26,31,52,0,0,0,3,7,7,30,33,66
ILOC70201701,32,43,45,86,108,112,225,7,12,13,13,16,32,129,138,272
ILOC70300101,189,122,124,251,28,37,66,259,244,501,90,107,200,373,390,764
ILOC70300102,345,236,178,414,35,35,69,564,527,1092,208,151,363,814,712,1518
ILOC70300201,163,102,96,204,40,56,99,253,300,556,84,83,170,380,437,818
ILOC70300202,169,122,102,223,66,58,121,289,298,586,98,81,184,456,436,892
ILOC70300301,3,21,20,39,56,41,95,0,0,0,0,0,3,55,45,97
ILOC70300302,404,256,240,495,28,43,70,356,463,816,212,195,409,595,703,1298
ILOC70300303,7,10,16,29,12,11,26,0,0,0,3,3,7,13,16,29
ILOC70300304,42,34,31,60,19,16,35,42,51,94,29,21,42,88,82,171
ILOC70300401,162,116,83,200,26,22,54,50,53,102,93,72,161,167,147,318
ILOC70300402,72,49,54,99,29,48,82,14,23,38,42,37,80,91,105,192
ILOC70300403,0,10,3,12,17,15,32,0,0,0,0,0,0,18,15,34
ILOC70300404,89,66,43,113,21,18,31,57,87,145,56,37,96,135,139,269
ILOC70300501,974,623,465,1084,15,31,48,400,503,903,570,411,977,988,943,1926
ILOC70300502,466,277,271,547,31,27,57,536,599,1137,242,232,479,810,857,1671
ILOC70300503,505,347,211,560,29,30,56,378,435,808,324,185,516,730,650,1379
ILOC70300504,687,416,341,755,39,35,71,588,730,1317,380,310,692,1006,1075,2080
ILOC70300601,495,289,313,602,152,189,340,500,544,1047,241,262,502,889,995,1883
ILOC70300701,104,63,47,112,16,13,31,65,56,122,57,53,111,137,120,262
ILOC70300702,321,213,192,400,55,61,113,315,325,644,174,161,335,542,544,1092
ILOC70300703,498,383,202,585,64,47,107,261,256,519,335,167,506,661,470,1135
ILOC70300704,1495,2243,339,2578,768,115,877,676,449,1124,1282,227,1508,2722,786,3510
ILOC70300705,905,605,503,1108,124,103,229,906,952,1861,524,426,947,1552,1486,3035
ILOC70300706,50,29,37,65,11,12,25,32,45,79,23,29,57,67,94,160
ILOC70300801,276,163,195,361,83,102,186,255,340,594,137,155,292,474,598,1074
ILOC70300901,355,280,179,457,128,117,242,277,267,536,227,132,357,630,512,1142
ILOC70301001,135,70,87,156,34,26,63,190,211,400,59,76,137,283,320,604
ILOC70301002,233,145,129,277,25,23,50,242,288,535,124,114,238,391,427,825
ILOC70301101,157,98,94,191,32,33,59,252,235,485,78,81,162,359,354,705
ILOC70301102,218,132,133,270,43,36,79,278,278,550,113,112,225,425,423,852
ILOC70301103,150,92,89,183,30,32,56,222,255,473,80,76,160,328,358,692
ILOC70301201,348,195,199,396,12,27,42,414,425,844,174,185,359,607,640,1242
ILOC70301202,369,222,210,428,21,25,45,351,374,727,196,186,380,566,584,1153
ILOC70301301,851,546,527,1072,216,252,473,1725,2036,3762,450,433,878,2398,2718,5113
ILOC70301302,266,177,163,343,84,83,176,272,322,592,143,133,279,504,540,1038
ILOC70301303,353,229,206,440,57,55,112,655,768,1426,203,174,372,911,999,1908
ILOC70301304,359,214,254,470,115,114,220,271,319,589,166,201,362,551,630,1180
ILOC70301305,296,206,197,402,171,182,354,225,255,477,163,147,316,560,587,1146
ILOC70301306,0,7,11,16,16,15,25,0,0,0,0,0,0,16,15,25
ILOC70301307,258,170,197,370,104,102,208,298,359,659,125,137,261,525,602,1129
ILOC70301401,524,339,330,670,106,99,202,1122,1243,2368,274,266,541,1503,1607,3117
ILOC70301402,195,145,125,263,51,48,101,259,296,551,109,93,201,417,437,851
ILOC70400101,92,65,45,106,20,15,37,19,29,46,56,36,94,92,77,175
ILOC70400102,0,0,0,0,16,13,32,0,0,0,0,0,0,16,13,32
ILOC70400103,35,27,31,63,45,58,101,3,0,3,20,21,35,62,79,143
ILOC70400104,0,5,14,19,57,66,122,0,3,6,0,0,0,59,71,128
ILOC70400105,17,11,8,24,18,14,38,0,0,0,9,7,17,30,24,52
ILOC70400106,26,24,18,44,16,21,42,9,6,21,20,17,32,47,49,92
ILOC70400201,162,103,93,197,54,41,97,64,67,128,91,79,170,202,187,390
ILOC70400202,109,84,60,148,30,26,62,58,67,127,65,43,111,161,134,291
ILOC70400203,0,0,0,0,9,5,10,0,0,0,0,0,0,9,5,10
ILOC70400301,70,206,179,385,389,357,743,15,18,32,39,27,70,450,403,847
ILOC70400302,0,16,16,32,49,54,104,0,0,0,0,0,0,49,54,104
ILOC70400401,13,48,57,102,71,64,133,0,0,0,5,4,13,77,66,147
ILOC70400402,34,83,73,153,151,161,311,8,4,11,25,16,34,184,176,361
ILOC70400403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70400404,0,0,0,0,3,7,13,0,0,0,0,0,0,3,7,13
ILOC70400405,6,3,8,12,29,46,70,0,4,3,0,0,6,32,52,82
ILOC70400406,6,34,29,67,86,60,147,0,3,3,5,4,6,91,68,162
ILOC70400501,0,10,3,15,31,31,63,0,0,0,0,0,0,31,31,63
ILOC70400502,61,171,175,346,439,401,845,20,11,32,25,35,61,479,454,936
ILOC70400601,3,7,9,17,52,49,107,0,0,0,3,0,3,59,51,108
ILOC70400602,8,41,32,73,65,59,118,5,6,12,6,3,8,76,68,139
ILOC70400603,6,9,3,15,10,7,16,0,4,4,6,0,6,21,10,31
ILOC70400604,21,57,46,105,195,194,385,17,8,26,15,7,21,225,212,435
ILOC70500101,23,27,22,50,54,56,112,9,9,19,8,12,23,74,82,155
ILOC70500102,7,20,15,31,32,26,62,3,3,4,5,0,7,38,27,71
ILOC70500103,0,6,3,10,25,13,41,0,0,0,0,0,0,25,14,45
ILOC70500201,3,7,13,21,45,32,78,0,0,0,0,4,3,45,34,85
ILOC70500202,14,18,9,34,52,30,86,3,5,7,3,3,14,61,47,103
ILOC70500301,10,10,13,16,42,53,95,3,0,3,0,7,10,47,57,107
ILOC70500302,6,9,7,18,43,29,70,0,0,3,7,3,6,46,36,79
ILOC70500303,101,76,40,113,11,3,13,29,29,59,61,32,101,101,67,171
ILOC70500304,0,18,17,31,57,57,115,4,0,4,0,0,0,58,57,116
ILOC70500305,10,6,3,9,10,12,27,0,0,0,4,3,10,20,19,36
ILOC70500306,46,42,38,83,15,16,30,17,17,34,25,23,48,56,57,112
ILOC70500307,6,14,10,21,61,77,143,0,3,6,0,3,6,63,82,152
ILOC70500401,26,26,17,43,28,22,51,5,5,10,17,13,29,48,42,89
ILOC70500402,7,20,14,39,107,109,215,0,3,3,8,0,7,111,112,224
ILOC70500403,8,10,9,16,24,26,55,0,0,0,3,4,8,24,34,56
ILOC70500404,3,12,3,12,31,26,62,0,0,0,0,0,3,35,29,63
ILOC70500405,17,10,6,17,0,0,0,0,0,0,10,6,17,11,7,16
ILOC70500501,0,8,3,13,39,25,62,0,0,0,0,0,0,37,25,61
ILOC70500502,1683,1072,950,2020,318,343,660,702,697,1402,915,799,1711,1936,1836,3772
ILOC70500503,6,11,11,22,26,25,51,3,0,3,6,3,6,30,28,61
ILOC70500504,0,3,0,4,22,21,47,0,0,0,0,0,0,22,21,47
ILOC70500601,20,39,43,88,114,116,227,6,10,14,7,12,20,129,134,260
ILOC70500701,20,110,126,238,260,248,511,0,3,3,4,10,20,273,264,535
ILOC70500801,3,5,3,9,11,18,32,0,0,0,0,0,3,17,19,29
ILOC70500802,5,16,6,19,17,22,37,0,0,0,5,5,5,20,22,44
ILOC70500803,8,6,0,8,0,3,5,4,3,5,6,0,8,10,10,23
ILOC70500804,32,22,17,40,13,19,31,8,6,21,16,20,31,40,41,86
ILOC70500805,98,61,51,110,15,14,34,8,4,10,53,41,98,78,63,139
ILOC70500901,8,10,9,20,20,17,31,3,4,3,3,3,8,25,22,48
ILOC70500902,34,33,20,47,22,14,29,3,8,12,22,11,34,45,34,74
ILOC70500903,10,38,40,79,54,60,113,0,3,4,6,7,10,60,66,130
ILOC70600101,87,69,37,104,10,13,26,110,91,198,61,30,90,180,136,316
ILOC70600102,10,69,69,142,140,173,310,0,0,3,6,0,10,153,175,323
ILOC70600103,5,9,6,11,10,15,32,0,0,0,9,0,5,21,19,37
ILOC70600104,0,13,17,25,17,26,43,0,0,4,0,0,0,22,28,48
ILOC70600105,0,35,31,66,84,76,161,0,0,0,0,0,0,82,78,161
ILOC70600201,7,191,164,353,293,302,599,4,3,9,3,3,7,298,310,606
ILOC70600202,0,4,3,12,15,12,25,0,0,0,0,0,0,15,12,25
ILOC70600301,0,7,3,10,15,17,25,0,0,0,0,0,0,15,17,25
ILOC70600302,0,0,3,3,10,10,24,0,0,0,0,0,0,10,9,22
ILOC70600303,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3
ILOC70600304,0,25,14,43,51,29,80,0,0,0,0,0,0,51,32,79
ILOC70600305,0,17,24,34,26,32,55,0,0,0,0,0,0,26,32,55
ILOC70600401,19,57,55,111,373,339,718,6,10,19,10,13,19,386,358,748
ILOC70600402,0,17,17,29,73,71,148,3,6,4,0,0,0,75,78,153
ILOC70600501,6,8,11,23,27,30,56,0,0,0,8,0,6,33,34,67
ILOC70600502,308,328,234,556,133,105,235,379,414,797,183,143,328,693,660,1353
ILOC70600601,6,32,49,74,104,128,230,0,4,9,0,5,6,109,137,249
ILOC70600701,9,35,53,86,196,184,386,7,6,15,3,7,9,208,197,410
