ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC50700802,9,3,10,0,0,3,17,7,25,11,15,23,5,10,16,5,9,17,4,7,12,9,6,16,8,3,7,11,10,17,77,78,150
ILOC50700901,72,105,171,19,39,59,86,78,165,50,77,130,36,55,91,25,88,109,30,41,73,31,33,61,154,86,237,33,23,54,527,619,1148
ILOC50701001,10,13,28,3,0,3,9,5,15,8,17,23,3,9,10,3,9,8,3,6,9,9,3,5,17,13,28,9,3,16,71,76,150
ILOC50701002,18,13,25,6,3,13,11,11,20,6,9,16,11,17,23,0,6,7,3,11,20,7,4,13,15,9,25,11,9,25,90,100,187
ILOC50701101,28,24,48,4,0,11,4,13,18,4,3,11,6,8,17,6,13,14,4,5,11,9,5,8,36,13,46,7,8,13,101,99,199
ILOC50701102,12,8,16,7,3,13,16,7,28,11,14,28,8,17,30,3,10,20,0,9,10,3,4,10,14,3,17,9,14,22,91,90,180
ILOC50701201,4,0,5,3,0,3,3,7,11,5,7,7,3,3,4,0,4,3,3,0,3,0,0,3,11,3,15,7,3,10,34,33,68
ILOC50701202,17,15,27,3,6,8,5,7,16,3,12,11,10,9,19,0,8,11,0,4,4,3,4,10,21,11,26,9,4,11,67,84,151
ILOC50701203,0,5,5,3,3,3,10,10,11,0,4,11,3,3,3,0,4,5,0,0,3,0,3,3,12,3,14,0,3,3,32,32,67
ILOC50701301,8,5,19,3,4,13,23,18,46,3,14,22,9,9,18,3,7,13,10,18,24,5,3,13,17,10,27,9,9,23,95,110,203
ILOC50701302,10,22,31,0,3,8,18,19,36,19,29,51,8,15,22,13,8,20,6,8,14,12,4,18,29,13,38,7,21,32,128,152,278
ILOC50701401,18,14,32,9,10,20,35,33,67,21,21,40,10,28,40,7,9,22,6,12,23,6,8,14,27,23,41,16,13,28,152,172,327
ILOC50701501,5,8,19,0,4,3,5,5,14,3,8,11,0,3,8,6,8,15,8,4,9,4,7,9,22,12,35,0,3,3,54,61,117
ILOC50701502,3,4,9,3,3,8,0,7,10,5,0,11,7,5,12,3,6,3,5,5,9,6,0,9,3,3,3,0,0,4,37,36,68
ILOC50701503,28,37,63,10,19,31,14,24,40,9,23,31,9,13,23,10,22,36,11,21,33,11,12,22,56,38,91,6,9,19,176,217,391
ILOC50701504,22,14,41,4,3,11,26,22,48,15,14,21,5,15,17,9,7,15,5,12,13,4,0,3,19,10,33,6,9,14,118,103,217
