ILOC_CODE_2016,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_149_M,PI1_149_F,PI1_149_P,PI150_299_M,PI150_299_F,PI150_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_499_M,PI400_499_F,PI400_499_P,PI500_649_M,PI500_649_F,PI500_649_P,PI650_799_M,PI650_799_F,PI650_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC70201403,0,0,3,5,3,10,9,8,15,0,6,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,83,75,161,105,97,200
ILOC70201404,3,0,3,0,3,3,10,16,26,4,0,6,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,10,7,21,36,39,69
ILOC70201501,0,0,3,0,4,7,44,17,67,7,19,29,4,20,23,4,28,34,0,7,10,0,0,3,3,3,4,3,3,10,75,105,181
ILOC70201601,3,3,3,0,4,4,55,60,114,0,0,3,0,3,4,0,0,0,0,3,3,0,0,0,0,0,0,6,3,7,70,73,144
ILOC70201701,10,5,14,0,0,5,122,173,287,0,4,3,11,7,17,7,6,11,6,4,15,11,5,15,5,4,15,26,33,60,193,246,442
ILOC70300101,13,3,14,0,3,3,4,6,9,4,12,9,4,6,6,3,11,15,3,3,7,5,0,3,23,23,46,3,10,12,61,77,133
ILOC70300102,11,4,16,0,3,6,3,3,5,0,0,0,0,3,3,8,0,8,0,4,9,10,3,7,14,28,38,0,4,6,41,54,101
ILOC70300201,8,9,16,3,8,6,3,3,9,6,6,19,3,3,3,3,10,9,4,4,4,7,12,14,32,33,62,4,3,4,67,91,157
ILOC70300202,10,11,25,0,6,5,0,5,4,3,4,5,0,4,5,6,3,11,9,4,11,4,9,14,30,31,59,0,11,11,68,86,150
ILOC70300301,19,10,29,7,3,15,17,29,45,16,28,45,7,9,14,3,3,4,0,0,0,0,0,0,0,3,4,18,20,41,91,109,200
ILOC70300302,10,7,13,3,5,6,8,13,18,6,11,19,4,9,14,6,7,13,3,4,14,10,9,19,25,20,45,5,11,19,81,95,179
ILOC70300303,0,0,0,0,0,0,0,0,0,0,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,8,17,13,21,36
ILOC70300304,3,0,3,3,0,4,7,13,21,17,18,36,3,5,8,0,4,3,3,0,6,0,0,0,7,0,7,3,6,9,53,46,101
ILOC70300401,4,3,10,0,6,3,5,10,15,0,12,14,0,5,5,8,3,7,4,7,4,3,3,10,10,7,19,6,6,9,46,58,98
ILOC70300402,9,4,10,0,0,3,8,14,21,0,8,8,6,8,5,0,3,3,0,0,4,3,5,9,8,11,21,4,13,20,44,70,111
ILOC70300403,5,3,14,4,4,4,34,26,57,14,10,27,0,7,7,4,7,10,8,5,8,0,0,0,0,0,0,0,0,0,70,57,127
ILOC70300404,3,8,7,0,0,0,5,9,13,4,6,9,6,3,12,0,7,6,3,0,5,7,0,3,8,15,15,4,3,4,38,51,86
ILOC70300501,11,7,22,3,3,12,9,8,15,4,13,20,9,11,18,4,11,16,3,9,8,3,3,6,34,18,54,7,16,29,95,98,190
ILOC70300502,6,4,15,5,0,3,5,6,12,5,6,18,6,4,9,3,7,9,0,8,3,10,3,12,27,36,60,4,4,10,61,86,145
ILOC70300503,9,7,19,0,4,4,4,3,6,0,6,6,0,3,3,0,3,6,5,3,6,3,4,8,32,17,45,3,4,12,52,61,109
ILOC70300504,4,6,12,0,0,3,4,3,13,0,4,7,0,3,9,7,11,13,6,5,17,10,13,18,46,39,85,8,4,15,89,93,183
ILOC70300601,43,41,84,8,13,19,16,17,33,14,29,45,12,18,28,7,19,26,4,23,27,14,13,29,64,73,142,8,20,30,191,262,458
ILOC70300701,3,3,3,0,3,3,13,9,18,5,6,5,3,0,3,0,0,0,0,0,0,4,0,4,7,6,7,0,0,0,27,25,46
ILOC70300702,7,5,13,3,8,10,4,5,7,0,5,5,0,0,0,4,6,9,3,3,5,7,3,14,48,26,81,0,5,7,83,72,146
ILOC70300703,7,6,15,0,0,0,4,6,13,3,3,9,10,8,15,3,6,7,5,8,8,7,3,15,30,27,62,6,5,10,76,77,155
ILOC70300704,15,12,23,0,0,3,5,7,13,4,5,12,11,4,20,3,6,10,5,8,18,16,8,24,71,29,98,721,60,783,847,144,991
ILOC70300705,26,27,50,3,4,8,12,15,27,6,8,16,5,10,15,10,12,23,11,16,22,12,17,29,107,70,176,16,16,34,199,197,398
ILOC70300706,0,0,0,0,0,0,15,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,3,6,8,24,32,58
ILOC70300801,16,21,33,7,4,12,18,11,29,10,19,32,9,17,29,6,17,26,6,16,17,10,14,23,42,44,87,6,6,16,124,178,303
ILOC70300901,18,30,47,11,9,17,19,17,28,9,13,24,11,7,19,6,8,17,4,5,10,11,4,17,26,19,51,49,36,94,154,156,313
ILOC70301001,10,8,18,6,3,5,3,3,9,3,4,11,3,6,6,0,3,4,7,0,8,4,0,10,14,19,28,4,3,7,49,47,98
ILOC70301002,0,5,9,4,3,10,6,8,10,9,6,17,0,8,9,3,3,9,4,4,5,4,8,15,26,15,41,5,4,11,58,66,119
ILOC70301101,10,3,10,0,3,3,0,8,11,5,6,9,0,8,13,3,7,7,6,5,12,5,3,9,20,16,35,3,0,6,56,66,123
ILOC70301102,3,7,13,3,0,3,4,3,5,8,8,12,0,7,6,3,3,8,10,4,14,3,0,3,15,12,26,3,3,9,59,52,106
ILOC70301103,4,7,10,0,4,4,3,3,6,7,7,19,0,5,10,0,3,3,0,0,3,0,4,4,11,16,22,4,4,11,35,52,86
ILOC70301201,0,7,7,0,0,0,3,3,8,8,8,15,5,3,3,3,12,11,6,4,6,4,3,5,18,18,38,3,3,8,51,58,108
ILOC70301202,3,14,15,3,0,8,3,5,10,4,4,6,19,10,29,0,3,5,5,3,9,3,5,13,27,21,45,11,3,13,68,76,142
ILOC70301301,37,50,85,15,17,27,13,21,36,7,19,29,12,17,29,8,12,21,14,37,45,29,40,75,223,154,376,11,12,32,374,388,758
ILOC70301302,14,20,36,7,8,11,9,12,19,8,15,19,3,14,18,3,10,16,3,7,13,6,9,14,36,18,57,11,19,27,97,123,222
ILOC70301303,13,5,22,3,4,9,0,3,5,3,0,4,5,9,18,4,5,10,3,12,9,9,6,15,70,33,104,3,3,6,116,87,204
ILOC70301304,23,19,44,12,6,16,19,19,39,14,25,35,20,24,35,13,17,25,4,12,10,3,14,14,40,37,74,17,15,34,157,174,338
ILOC70301305,42,29,74,11,16,22,19,23,42,13,25,37,7,25,33,9,24,34,9,31,36,14,23,38,48,46,94,11,20,28,188,248,434
ILOC70301306,0,3,3,3,0,3,18,20,41,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,4,30,33,61
ILOC70301307,22,23,46,5,6,14,9,11,16,9,18,23,12,14,20,9,9,17,5,16,16,9,13,17,56,54,111,13,15,36,144,180,317
ILOC70301401,13,29,42,7,3,6,8,15,25,7,7,12,4,8,13,7,7,17,3,10,12,11,10,25,67,55,129,5,4,7,132,150,286
ILOC70301402,19,8,30,3,4,5,11,6,15,8,15,19,3,7,13,9,10,18,3,3,6,4,5,16,22,25,47,16,19,35,93,109,207
ILOC70400101,3,6,8,3,3,5,13,12,25,0,3,7,0,3,5,3,3,9,10,0,7,3,0,5,8,5,12,0,0,4,45,43,91
ILOC70400102,0,0,0,7,0,5,7,3,19,0,4,10,0,3,3,3,8,5,0,3,3,3,0,3,0,0,0,0,0,0,21,20,46
ILOC70400103,5,7,18,7,8,16,44,59,107,0,11,7,8,7,14,4,3,7,4,3,7,0,5,3,3,6,8,11,11,25,81,126,202
ILOC70400104,10,10,27,21,14,36,34,77,107,3,22,22,10,5,22,3,3,12,0,5,3,0,0,0,0,0,0,0,0,0,93,130,230
ILOC70400105,0,0,3,0,3,3,22,12,36,4,10,20,0,3,6,3,4,8,0,4,4,0,0,0,3,0,6,3,9,11,40,50,88
ILOC70400106,8,4,18,5,4,7,15,9,29,4,3,5,3,6,7,8,5,9,0,0,0,4,3,6,3,3,5,4,0,3,51,48,98
ILOC70400201,11,10,21,3,0,3,7,8,18,7,12,20,3,3,4,0,5,10,7,9,13,7,9,14,23,21,47,21,6,22,92,79,174
ILOC70400202,13,4,13,3,3,5,17,13,34,6,6,10,0,10,10,5,3,8,7,0,5,3,0,4,8,7,16,10,3,16,63,58,120
ILOC70400203,0,3,4,4,0,3,10,4,13,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,20,22,41
ILOC70400301,40,26,64,151,113,256,280,316,597,39,67,104,20,28,45,40,30,66,21,17,39,19,5,20,12,8,20,143,148,285,758,742,1496
ILOC70400302,7,10,16,20,16,38,41,48,85,3,7,10,3,4,7,3,3,3,0,0,0,0,3,3,0,0,0,17,22,43,94,113,208
ILOC70400401,5,3,12,16,7,24,29,35,66,6,10,18,3,3,3,4,3,7,0,0,0,0,0,0,0,0,0,36,41,76,99,108,203
ILOC70400402,19,11,36,55,69,122,110,147,257,27,42,71,15,18,36,34,23,55,4,8,20,5,6,12,5,11,14,76,66,137,356,405,756
ILOC70400403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC70400404,0,4,5,0,3,6,3,8,9,3,0,8,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,29
ILOC70400405,9,5,15,3,6,9,34,35,73,4,13,19,3,3,9,10,8,15,5,3,7,0,0,4,0,0,3,3,3,6,74,76,150
ILOC70400406,10,7,16,9,10,19,40,51,93,9,18,25,0,3,4,16,6,17,9,5,14,3,0,4,0,0,0,20,25,44,121,123,243
ILOC70400501,3,4,7,28,16,47,27,22,50,0,12,15,3,3,4,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,65,65,128
ILOC70400502,54,53,102,140,111,257,206,231,443,32,69,103,28,48,85,26,52,84,4,14,12,0,5,10,8,10,11,122,118,238,622,722,1347
ILOC70400601,17,16,36,18,19,31,42,44,87,21,23,47,8,15,19,13,15,28,6,4,10,0,0,0,3,4,10,0,0,0,133,136,271
ILOC70400602,22,14,32,14,13,30,32,37,67,9,26,28,0,11,10,0,3,7,3,3,4,0,0,3,7,7,17,28,30,56,117,131,249
ILOC70400603,0,3,3,3,3,8,7,4,13,3,6,11,0,3,3,3,4,5,0,0,0,0,0,0,0,0,0,0,3,6,17,29,44
ILOC70400604,32,30,64,182,163,348,123,127,253,47,61,105,29,32,58,29,39,69,13,13,35,9,5,12,9,17,32,26,32,62,506,530,1030
ILOC70500101,18,4,24,6,4,13,36,33,73,6,6,18,11,14,18,8,8,12,7,5,14,3,5,12,16,18,34,3,9,10,109,115,229
ILOC70500102,8,0,4,0,0,3,17,16,34,8,6,14,6,3,5,11,6,16,0,5,4,3,3,3,4,0,3,12,0,12,66,46,115
ILOC70500103,7,6,17,0,0,0,16,13,30,5,10,9,6,8,16,3,6,15,3,5,11,3,0,3,0,0,0,0,0,0,51,49,100
ILOC70500201,10,4,14,24,18,44,23,25,43,3,7,11,3,3,9,4,3,3,0,5,5,0,0,0,3,0,3,3,0,8,71,69,134
ILOC70500202,21,30,54,4,10,18,6,13,20,3,10,9,5,10,13,7,6,14,4,3,5,0,0,3,0,3,4,33,22,57,86,100,185
ILOC70500301,19,10,24,10,8,19,51,55,109,8,12,21,3,9,14,5,5,12,3,11,9,3,0,3,0,4,4,3,8,6,105,117,221
ILOC70500302,13,3,18,12,18,31,28,32,60,4,9,12,8,5,10,9,9,22,6,0,7,0,3,3,3,0,3,9,3,9,94,81,178
ILOC70500303,0,0,0,0,0,0,5,8,15,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,6,0,9,4,0,4,29,16,41
ILOC70500304,9,8,17,16,14,24,24,43,67,4,11,11,4,3,6,8,10,15,0,0,0,0,0,0,0,0,0,20,30,57,88,115,199
ILOC70500305,0,0,4,0,3,3,4,4,9,3,9,16,0,3,3,0,4,4,0,3,3,0,0,0,0,0,0,4,4,11,18,30,48
ILOC70500306,0,0,0,4,0,6,21,18,40,7,6,14,0,3,7,0,3,6,3,0,5,0,0,0,0,0,0,6,3,9,47,47,91
ILOC70500307,21,18,34,24,29,49,74,70,152,19,32,44,7,9,20,6,9,23,3,0,7,0,0,0,0,0,0,3,6,14,159,182,340
ILOC70500401,0,5,9,6,3,16,16,17,29,9,12,23,0,0,3,0,4,4,0,3,5,0,0,3,9,3,12,5,4,13,59,48,108
ILOC70500402,14,9,19,24,15,43,65,56,121,17,20,41,8,15,27,13,23,34,4,11,17,0,0,3,0,0,4,21,32,58,172,186,361
ILOC70500403,3,0,3,3,3,6,24,15,46,0,6,9,0,0,3,0,3,3,3,0,3,0,0,0,0,0,0,3,3,3,43,27,72
ILOC70500404,22,10,29,4,9,14,15,17,37,0,3,3,5,5,15,10,8,14,3,4,3,3,3,3,0,0,0,0,0,3,69,64,130
ILOC70500405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ILOC70500501,7,4,14,15,13,21,23,37,57,5,8,7,0,3,3,0,4,3,0,0,0,0,0,0,0,0,0,19,12,22,63,70,134
ILOC70500502,44,38,84,30,22,50,38,41,88,30,53,79,46,69,111,25,41,67,31,46,73,48,30,78,122,141,266,74,74,148,481,558,1046
ILOC70500503,4,11,18,14,16,24,38,39,78,21,19,40,3,7,7,3,6,11,3,0,6,0,0,0,0,0,0,9,3,14,99,99,194
ILOC70500504,10,8,16,15,8,18,17,17,30,3,8,18,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,47,51,93
ILOC70500601,18,3,19,6,17,23,61,82,145,18,16,29,3,7,15,4,9,14,0,0,4,3,3,3,9,0,10,31,22,59,149,160,315
ILOC70500701,21,12,38,28,21,49,135,164,299,30,38,65,7,17,22,20,14,30,10,6,15,6,5,12,4,7,12,98,75,173,357,355,711
ILOC70500801,4,4,9,0,0,0,4,5,9,0,0,0,0,0,3,4,0,4,0,0,3,0,0,0,0,0,0,6,8,13,19,23,44
ILOC70500802,0,0,0,0,0,0,11,3,15,0,8,7,0,0,0,3,3,4,0,0,0,0,0,0,0,3,3,12,13,26,26,33,60
ILOC70500803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,11
ILOC70500804,0,0,3,0,0,0,3,9,14,7,3,8,0,7,6,6,5,15,3,3,5,9,0,5,7,7,8,6,12,24,45,47,90
ILOC70500805,4,0,4,6,4,7,16,14,30,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,8,12,14,37,36,69
ILOC70500901,5,3,12,0,0,3,13,18,28,0,6,5,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,27,33,62
ILOC70500902,0,0,0,0,0,0,3,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,5,13,14,20,32
ILOC70500903,3,3,5,8,3,10,26,28,53,6,5,16,4,6,16,7,12,18,0,3,8,0,3,3,3,0,7,24,20,41,76,97,177
ILOC70600101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,12,14,27,0,3,4,20,23,46
ILOC70600102,18,7,20,7,3,6,26,40,67,14,29,35,12,12,29,8,15,26,0,4,4,4,4,8,4,5,14,190,225,409,276,342,618
ILOC70600103,0,0,0,6,3,7,0,3,4,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,21,25,44,27,36,61
ILOC70600104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,49,103,51,48,105
ILOC70600105,3,0,3,0,0,0,25,17,41,14,13,31,11,16,20,0,7,11,0,3,4,0,0,0,4,0,3,117,113,233,169,176,347
ILOC70600201,0,5,6,3,3,8,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,293,578,292,311,609
ILOC70600202,0,0,0,3,0,3,14,21,34,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,42
ILOC70600301,0,3,3,10,9,21,11,8,19,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,29,33,60
ILOC70600302,6,8,21,0,0,0,8,10,27,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,50
ILOC70600303,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ILOC70600304,4,0,5,15,17,35,34,22,56,5,10,16,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,23,3,24,92,59,150
ILOC70600305,6,3,7,12,7,17,11,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,44,23,67
ILOC70600401,92,76,171,55,43,96,304,355,661,38,60,96,28,32,64,39,47,86,15,16,34,6,7,15,6,13,22,37,44,78,624,690,1317
ILOC70600402,22,21,45,6,0,7,44,62,107,14,11,20,4,3,6,0,0,3,3,3,7,0,0,0,0,0,0,7,15,19,102,122,227
ILOC70600501,10,5,9,0,0,0,43,60,107,0,0,0,3,5,8,3,7,12,0,0,0,3,4,8,3,3,8,4,0,7,72,83,157
ILOC70600502,5,8,15,11,12,21,27,45,67,5,10,19,6,3,6,3,9,12,3,9,10,6,4,13,39,38,75,63,31,94,172,165,340
ILOC70600601,10,11,20,91,106,197,50,74,120,18,13,26,6,14,14,4,4,7,3,6,7,3,0,8,0,4,3,50,37,90,238,268,502
ILOC70600701,58,21,77,93,59,146,154,177,327,50,57,101,20,23,38,22,35,61,9,13,26,3,3,9,0,4,4,21,26,47,429,401,833
ILOC70600702,18,14,35,32,41,74,114,135,245,22,41,67,9,12,24,10,8,25,9,3,7,3,3,4,4,5,5,37,33,77,257,301,567
ILOC70600703,10,8,19,9,6,15,20,29,50,8,11,22,3,3,3,7,0,10,3,3,6,0,0,0,0,0,0,11,13,24,73,68,142
ILOC70600801,38,37,74,31,24,60,95,131,223,20,21,47,9,11,26,5,4,11,8,3,8,0,5,5,3,6,14,11,11,21,228,251,481
ILOC70700101,10,3,12,40,31,70,40,48,87,14,39,59,0,12,14,3,8,12,0,0,0,3,0,3,3,0,4,25,23,49,142,162,306
ILOC70700201,8,8,17,21,16,34,55,50,108,13,18,32,7,5,14,4,7,10,5,4,5,0,0,0,8,4,9,20,18,44,138,123,265
ILOC70700301,3,4,11,0,3,5,9,17,26,7,4,9,3,0,4,0,6,8,0,5,8,3,0,3,3,4,5,0,0,0,41,40,81
ILOC70700302,0,0,0,0,3,3,11,8,16,0,0,0,9,3,8,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,17,20,36
ILOC70700303,0,0,0,0,0,0,13,10,20,3,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,25,38
ILOC70700304,3,0,6,6,9,13,31,24,57,7,3,15,3,3,13,3,4,6,0,0,0,3,0,3,3,3,5,9,8,21,76,52,126
ILOC70700305,3,0,3,4,4,10,10,8,16,0,0,4,0,6,4,0,3,4,0,0,0,0,0,0,0,0,0,9,10,22,33,26,56
ILOC70700401,3,10,16,0,0,0,9,9,13,6,12,18,32,37,72,5,12,22,8,7,13,4,9,12,6,6,16,6,4,8,87,101,185
ILOC70700501,3,5,7,3,5,5,21,22,41,0,3,7,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,3,0,4,31,37,70
ILOC70700502,0,0,0,6,11,14,30,25,50,8,10,11,5,3,7,3,3,9,0,0,3,0,0,0,0,0,0,4,3,7,52,54,104
ILOC70700503,8,6,12,5,4,6,45,53,97,4,11,17,6,10,16,6,5,12,7,0,4,3,0,3,0,0,0,9,3,17,99,98,193
ILOC70700504,32,21,52,18,23,39,57,92,148,28,47,74,15,24,45,9,16,25,20,16,32,25,15,45,65,66,129,109,44,149,376,355,732
ILOC70700601,3,3,6,3,3,4,21,18,42,8,7,23,3,0,4,3,4,6,3,0,3,3,0,0,0,0,0,20,6,23,66,49,117
ILOC70700602,4,3,4,12,9,24,19,16,31,10,4,17,3,7,11,0,3,5,0,0,0,0,0,0,0,0,0,3,4,3,48,53,99
ILOC79499494,11,4,18,8,5,7,86,50,136,88,78,167,51,54,109,9,5,13,15,14,33,9,0,14,13,7,21,96,68,169,384,295,677
ILOC79799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC80100101,47,53,97,26,28,60,42,57,99,36,47,81,31,42,77,31,45,79,37,38,76,39,50,89,217,175,391,20,14,43,532,556,1088
ILOC80100102,16,13,31,10,7,20,22,30,52,23,19,40,19,23,37,15,18,26,13,15,24,12,21,30,109,78,183,14,14,26,239,233,476
ILOC80100103,26,32,61,20,25,41,18,20,39,3,19,19,12,14,29,5,30,35,13,22,30,22,17,41,165,124,287,10,9,15,291,309,602
ILOC80100201,43,34,73,13,23,41,42,28,69,29,37,68,17,27,49,16,18,30,20,27,46,31,31,59,144,137,276,113,29,137,467,390,857
ILOC80100202,76,84,159,38,42,77,41,51,86,30,38,72,29,69,96,20,46,67,41,52,93,80,65,141,253,287,539,34,31,64,640,757,1401
ILOC80100301,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,7,13,20,0,0,0,11,18,32
ILOC89499494,6,0,6,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,4,3,13,11,30
ILOC89799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC90100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,3,3,7
ILOC90100201,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
ILOC90200101,0,3,4,0,0,0,0,3,3,4,3,8,0,3,3,0,0,0,3,0,3,0,0,0,7,7,10,3,3,7,10,21,32
ILOC90200102,4,0,7,3,7,9,7,3,9,6,10,14,8,4,17,0,3,5,3,4,3,0,0,0,8,4,14,15,26,40,59,61,117
ILOC90300101,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8
ILOC99499494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
ILOC99799797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
