ILOC_CODE_2016,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC10600205,0,8,20,30,11,8,25,342,145,484,3,3,11,354,155,510,58,62,120,1048,1045,2088,11,18,31,1113,1127,2241,15,11,28,161,164,328,3,0,5,181,182,359,26,37,65,717,725,1439,3,10,18,747,772,1517,32,27,62,456,466,924,7,10,18,498,502,1004
ILOC10600206,0,0,0,0,0,3,7,0,0,0,0,0,0,3,3,6,26,23,50,8,3,12,0,0,0,33,33,60,5,7,14,0,0,0,0,0,0,5,7,15,21,14,34,8,3,12,0,0,0,28,21,44,14,17,26,0,0,0,0,0,0,15,17,29
ILOC10600301,0,15,26,39,15,4,24,462,187,646,3,0,3,481,191,674,95,79,174,1219,1228,2450,22,9,34,1335,1313,2653,33,31,70,195,212,405,0,0,3,234,247,479,60,60,122,864,858,1722,14,7,29,943,930,1872,54,44,101,503,527,1028,6,0,5,567,569,1136
ILOC10600302,0,135,228,360,130,129,261,2841,1557,4401,16,18,40,2989,1706,4692,890,960,1848,8943,9482,18423,102,141,239,9932,10579,20510,196,229,422,1691,1854,3539,20,24,38,1904,2100,4003,508,557,1064,5871,6093,11962,64,97,160,6435,6748,13188,442,488,931,4309,4791,9103,36,53,92,4795,5336,10130
ILOC10600303,11,220,513,741,219,145,366,8779,3323,12107,63,32,93,9060,3505,12568,1007,985,1989,24671,25355,50028,248,275,527,25922,26622,52549,260,274,533,4137,4417,8556,45,44,93,4445,4735,9186,577,520,1093,16823,17047,33873,158,199,361,17555,17771,35321,538,599,1144,11143,11893,23040,105,103,208,11785,12597,24385
ILOC10600401,0,122,245,363,89,88,176,3555,1670,5229,27,7,36,3672,1768,5447,508,533,1040,14443,14357,28803,128,140,273,15082,15031,30111,130,135,269,3019,3027,6042,21,20,46,3174,3181,6354,287,298,579,9288,9294,18575,81,99,181,9648,9690,19336,302,334,635,7379,7463,14834,50,46,97,7726,7837,15563
ILOC10600402,7,109,259,371,68,36,112,4017,1577,5600,42,11,52,4133,1626,5761,303,245,546,13790,13353,27148,158,136,290,14254,13730,27986,70,75,142,2151,2142,4291,21,22,45,2240,2243,4482,174,152,329,9774,9358,19132,111,93,205,10069,9607,19670,158,146,306,5535,5548,11079,56,51,105,5747,5743,11494
ILOC10600501,7,110,186,298,61,48,108,3139,1556,4698,28,18,44,3223,1623,4853,384,418,803,10363,10430,20794,130,130,261,10873,10982,21855,96,106,200,1857,1923,3781,32,25,54,1981,2058,4040,205,239,448,6952,6939,13889,83,90,178,7238,7267,14506,208,230,440,4718,4883,9604,60,50,108,4982,5169,10148
ILOC10600502,9,83,143,230,57,30,82,2509,1096,3598,20,8,34,2584,1130,3713,264,239,498,9927,9984,19910,116,118,237,10303,10343,20646,60,55,119,1381,1482,2862,17,17,31,1463,1551,3012,177,144,318,7132,7061,14192,86,99,180,7397,7300,14700,106,127,228,3575,3916,7498,40,34,73,3722,4073,7793
ILOC10600503,0,129,314,446,80,73,154,4769,2094,6861,34,11,52,4888,2176,7066,331,405,737,17060,18607,35663,151,197,344,17543,19207,36748,79,76,160,3068,3404,6479,24,27,54,3175,3514,6681,209,243,453,11087,11997,23085,97,137,232,11401,12375,23773,171,198,372,8401,9449,17849,57,83,141,8629,9730,18360
ILOC10700101,4,188,259,447,27,11,34,3358,1681,5044,22,9,25,3404,1695,5104,92,88,177,32566,30529,63099,186,169,351,32844,30789,63632,30,29,59,8842,6819,15659,50,27,80,8923,6877,15799,57,59,116,18362,18175,36538,113,106,219,18527,18345,36871,59,48,102,20938,17204,38145,99,75,173,21097,17329,38422
ILOC10700201,12,347,750,1098,91,45,130,12208,5079,17290,71,20,95,12372,5142,17515,375,378,753,75088,77579,152665,352,368,728,75815,78330,154146,61,70,135,11153,11427,22583,43,42,89,11254,11546,22798,237,224,463,50729,52427,103155,257,284,542,51223,52935,104158,166,198,364,32074,33152,65228,120,114,231,32355,33461,65818
ILOC10700301,0,15,38,57,9,19,23,194,158,345,3,0,3,199,174,376,259,256,512,1531,1781,3308,21,19,39,1805,2053,3861,23,25,56,137,156,295,0,0,0,163,182,345,176,167,341,1123,1324,2448,14,14,29,1316,1500,2814,61,86,147,421,508,927,5,0,8,489,600,1089
ILOC10700302,0,11,34,49,11,14,17,197,101,297,3,0,4,208,109,320,130,134,261,1116,1172,2283,20,24,48,1262,1331,2599,21,31,55,144,175,323,3,4,6,169,211,381,80,76,156,807,820,1629,13,16,36,902,915,1820,47,63,110,383,445,833,0,10,10,431,522,950
ILOC10700303,0,87,174,264,53,23,78,2839,1411,4245,12,5,13,2901,1444,4343,265,249,507,15120,15210,30330,66,82,143,15447,15537,30978,56,61,122,3765,3792,7551,18,14,33,3840,3871,7713,168,157,328,7927,7845,15770,35,36,73,8128,8044,16175,130,134,257,9611,9902,19519,31,32,65,9772,10065,19843
ILOC10700304,0,151,285,434,48,41,93,4246,1982,6237,22,12,36,4318,2036,6354,326,353,677,22722,22802,45521,128,145,274,23168,23301,46467,75,85,164,4031,3731,7758,19,13,35,4132,3824,7959,218,235,451,15293,15567,30860,88,109,196,15598,15913,31516,149,166,315,10147,9679,19828,49,31,84,10343,9879,20225
ILOC10700305,0,11,18,26,8,3,13,181,114,301,0,0,4,188,122,315,49,69,120,1058,1054,2113,18,22,37,1126,1146,2274,6,5,14,111,127,237,0,3,3,120,133,255,35,57,84,821,798,1617,14,22,34,869,871,1738,20,12,38,301,339,639,0,3,3,323,355,683
ILOC10700306,0,100,162,264,48,39,89,2226,1178,3403,11,3,16,2282,1225,3508,379,412,793,13362,13669,27033,96,94,193,13847,14174,28015,60,77,136,1970,1876,3851,12,9,25,2043,1964,4008,256,270,535,8831,9142,17977,65,74,140,9159,9490,18654,140,179,322,5756,5676,11437,30,28,63,5936,5887,11820
ILOC10700307,0,5,24,29,3,4,5,143,69,213,0,3,0,147,78,220,62,63,118,802,785,1594,9,11,20,872,855,1731,7,12,23,120,93,214,6,3,8,135,108,240,36,33,74,588,573,1159,3,3,13,628,612,1242,19,23,45,261,256,519,3,6,9,284,286,566
ILOC10700308,0,32,63,98,12,9,23,643,386,1025,5,3,10,659,405,1062,82,97,175,4031,4144,8172,31,30,61,4143,4265,8411,18,21,35,504,544,1050,3,0,4,527,566,1089,60,62,114,2837,2885,5715,25,26,50,2913,2966,5885,36,39,75,1431,1539,2972,3,0,3,1464,1581,3046
ILOC10700309,0,53,108,157,24,28,57,1152,596,1753,6,4,13,1184,634,1817,159,178,336,6327,6480,12805,42,50,91,6524,6707,13232,22,34,57,691,771,1457,4,5,7,715,810,1525,107,107,215,4623,4695,9318,30,38,74,4766,4844,9609,48,85,133,2108,2241,4348,8,6,15,2160,2342,4502
ILOC10700310,0,17,30,41,16,15,30,333,202,528,3,0,3,346,218,564,121,121,241,1825,1845,3669,17,25,40,1957,1993,3949,22,15,33,247,248,494,0,6,6,272,269,536,79,90,165,1385,1393,2778,12,14,27,1479,1495,2977,40,45,83,571,603,1178,11,10,21,615,659,1274
ILOC10700311,0,39,87,118,14,3,21,1217,539,1754,12,4,11,1245,550,1793,83,74,157,5554,5583,11138,26,20,47,5672,5680,11346,11,12,24,658,646,1307,0,0,4,671,657,1327,50,44,93,4153,4123,8281,29,13,38,4230,4179,8409,35,34,65,1801,1811,3610,4,5,12,1837,1851,3686
ILOC10700312,0,46,93,143,30,15,45,1007,511,1519,5,8,12,1043,536,1578,166,143,310,4987,4946,9935,38,42,85,5196,5134,10330,22,23,47,919,838,1755,7,9,22,948,875,1817,113,109,220,3283,3365,6643,28,32,61,3426,3498,6929,49,42,98,2329,2141,4468,15,13,29,2393,2202,4592
ILOC10700313,0,14,38,57,22,17,38,246,163,406,6,0,6,267,178,450,198,194,391,1545,1636,3185,23,17,42,1766,1847,3617,26,33,60,165,232,395,3,0,3,193,267,459,123,108,235,1086,1169,2256,17,23,34,1232,1296,2527,57,89,149,514,560,1078,7,3,10,581,653,1239
ILOC10700314,0,31,56,82,18,17,35,762,387,1155,9,0,13,789,413,1201,115,134,249,3948,4033,7976,40,32,72,4099,4198,8299,26,16,42,526,535,1061,3,0,6,553,557,1110,79,99,181,2673,2756,5430,37,27,61,2790,2883,5674,49,36,81,1586,1595,3183,8,9,11,1640,1631,3280
ILOC10700315,0,78,139,210,39,45,86,1301,849,2151,12,7,16,1352,901,2254,321,335,658,8741,8988,17731,77,75,156,9140,9400,18538,61,83,146,1603,1617,3222,11,12,21,1677,1709,3387,219,227,446,5602,5780,11385,52,55,115,5873,6064,11937,133,157,286,4139,4138,8277,26,22,47,4294,4315,8611
ILOC10700316,0,76,130,201,24,17,36,2000,1041,3040,3,4,8,2026,1061,3083,118,112,232,12846,13223,26067,74,81,153,13042,13412,26448,19,13,27,1663,1629,3286,7,3,12,1685,1647,3328,78,77,153,8853,9043,17895,55,59,118,8990,9177,18165,46,49,94,4948,5112,10065,16,17,35,5012,5177,10192
ILOC10700317,0,80,170,249,28,36,62,2120,1054,3170,5,3,8,2156,1089,3251,195,210,409,10783,11154,21934,52,57,107,11030,11416,22445,40,42,80,1677,1706,3379,4,11,11,1716,1756,3474,119,128,243,7092,7233,14332,35,34,70,7246,7395,14647,95,101,194,4652,4849,9500,7,20,30,4761,4969,9729
ILOC10700318,0,42,66,103,12,21,31,987,517,1508,5,0,4,1005,537,1543,114,100,209,5314,5518,10829,34,34,67,5454,5646,11103,18,12,28,915,951,1869,4,0,8,936,970,1907,71,75,147,3628,3852,7479,25,24,52,3725,3947,7673,43,32,73,2281,2344,4627,11,11,16,2333,2382,4717
ILOC10700319,0,16,49,66,25,31,53,317,204,523,5,0,9,347,235,584,228,220,445,1919,2083,4003,29,46,79,2177,2349,4525,51,63,112,222,250,474,0,0,0,275,318,590,160,148,302,1411,1532,2940,32,39,74,1602,1719,3319,82,104,191,613,690,1307,3,4,6,703,802,1505
ILOC10700320,0,28,57,90,30,19,48,557,368,922,3,0,3,591,385,976,222,239,465,3232,3451,6677,26,18,47,3480,3712,7189,64,60,123,825,857,1684,9,3,6,898,920,1815,128,153,279,1341,1428,2764,11,15,25,1479,1586,3068,115,118,240,2363,2515,4877,14,6,19,2494,2642,5134
ILOC10700401,0,34,75,110,17,11,29,1240,536,1771,4,0,6,1265,541,1806,106,91,194,5338,5594,10937,32,28,62,5480,5715,11194,18,16,35,616,652,1273,4,0,4,643,668,1313,55,59,114,3976,4208,8180,24,22,45,4054,4282,8344,54,46,96,1806,1882,3693,14,4,16,1871,1930,3807
ILOC10700402,0,81,135,214,61,33,90,2522,1165,3690,20,11,30,2601,1203,3812,230,243,469,10100,10643,20737,74,77,151,10401,10961,21360,48,45,93,1281,1356,2640,11,11,18,1334,1416,2753,143,135,280,7279,7695,14975,58,55,115,7485,7893,15375,123,123,247,3748,3999,7749,20,22,42,3892,4147,8038
ILOC10700403,0,77,89,162,24,31,54,1404,734,2143,21,5,25,1445,772,2224,158,161,320,6480,7194,13671,74,72,149,6714,7429,14145,52,76,129,1148,1201,2351,15,9,23,1218,1280,2499,77,81,163,4311,4733,9044,39,52,93,4431,4867,9299,113,132,242,3111,3518,6627,38,22,63,3263,3672,6933
ILOC10700404,0,28,51,77,39,28,61,1112,542,1658,7,7,7,1152,579,1731,155,140,299,4176,4588,8763,28,18,47,4357,4746,9106,18,27,48,496,508,999,0,0,5,516,533,1054,107,88,198,2996,3303,6302,22,16,34,3129,3404,6536,60,58,115,1488,1652,3136,7,5,10,1551,1713,3267
ILOC10700405,0,28,39,61,17,13,23,705,322,1029,5,3,7,722,336,1060,50,63,111,3025,3372,6396,21,29,53,3101,3461,6565,7,9,21,357,384,740,0,0,0,369,398,762,38,49,87,2220,2480,4698,15,32,47,2275,2556,4833,13,20,37,1048,1194,2239,4,3,8,1066,1217,2278
ILOC10700501,0,107,171,274,65,39,105,3040,1321,4362,23,11,36,3132,1374,4505,304,350,659,16744,17204,33948,100,93,192,17154,17647,34798,54,51,108,3766,3570,7340,10,10,24,3830,3638,7469,199,238,445,10312,10952,21261,82,74,157,10597,11266,21859,143,153,292,9394,9020,18421,19,21,43,9559,9200,18758
ILOC10700601,3,198,534,732,165,103,269,8674,3695,12372,37,11,51,8869,3815,12692,733,723,1452,28965,30281,59242,183,212,395,29875,31220,61097,182,202,386,6104,6460,12566,41,43,87,6329,6708,13036,409,401,807,16562,17250,33810,113,121,242,17083,17771,34857,417,453,872,16491,17528,34018,92,97,188,16994,18083,35079
ILOC10700701,0,11,32,46,11,21,26,90,109,199,3,3,3,106,132,235,184,201,384,782,992,1778,22,16,38,988,1208,2201,31,36,63,101,111,214,5,3,11,138,146,292,140,143,290,621,808,1434,11,7,26,780,969,1744,53,72,123,211,260,466,6,3,10,271,330,600
ILOC10700702,0,26,92,116,18,23,46,1099,573,1674,7,3,12,1127,602,1731,157,174,329,4666,4813,9478,40,37,74,4858,5021,9886,57,37,92,587,659,1244,7,0,7,648,695,1340,95,105,204,3461,3505,6969,34,35,63,3594,3647,7240,88,82,173,1568,1751,3315,8,3,12,1659,1842,3496
ILOC10700703,0,25,56,85,23,21,48,875,467,1344,3,3,8,906,495,1400,153,162,314,3187,3329,6518,27,36,66,3372,3524,6890,28,35,63,522,527,1046,3,4,5,550,562,1118,89,107,197,2237,2344,4579,20,25,49,2340,2473,4820,79,75,151,1294,1386,2684,11,13,21,1379,1468,2851
ILOC10700704,0,5,16,25,3,0,12,280,70,344,3,0,6,286,76,363,23,15,39,887,869,1758,8,10,18,916,898,1819,7,3,6,148,152,299,0,0,0,147,153,305,16,9,29,658,623,1279,3,5,8,679,641,1318,10,12,24,350,377,721,5,4,7,364,391,751
ILOC10700705,0,110,175,283,67,80,145,2464,1194,3664,16,6,22,2548,1278,3823,343,394,738,9953,10130,20083,77,82,153,10369,10604,20975,99,125,220,2044,2167,4212,10,11,21,2155,2302,4461,187,236,417,6674,6683,13355,56,59,114,6913,6974,13888,227,241,465,4847,5119,9972,20,26,45,5096,5381,10480
ILOC10700706,0,42,92,129,21,21,43,867,498,1368,3,3,4,886,521,1411,205,230,439,3980,4065,8043,35,36,73,4220,4329,8553,42,46,89,551,573,1121,6,0,7,590,626,1213,121,156,271,2867,3024,5893,27,19,48,3019,3197,6210,90,98,185,1420,1424,2846,9,6,13,1521,1532,3046
ILOC10700707,3,60,107,164,32,26,59,1599,720,2317,8,3,11,1638,748,2387,149,154,300,7369,7419,14788,50,49,97,7562,7626,15191,37,37,69,1455,1434,2887,4,5,14,1491,1480,2973,86,86,168,4669,4643,9319,30,31,60,4781,4759,9543,79,97,170,3698,3761,7453,23,20,41,3797,3874,7668
ILOC10700708,0,67,129,205,30,40,68,1521,849,2367,8,8,17,1558,892,2455,259,318,575,8700,9135,17829,74,68,139,9029,9525,18553,38,38,76,1253,1239,2496,15,24,36,1298,1304,2606,164,192,356,5620,6016,11633,49,44,100,5829,6254,12088,108,136,241,3786,3794,7583,26,25,55,3923,3955,7871
ILOC10700709,0,37,89,131,25,22,44,958,490,1447,7,3,12,986,516,1508,146,178,327,5200,5358,10550,40,39,78,5381,5570,10954,47,52,97,996,1019,2014,8,10,21,1051,1077,2134,85,112,200,3322,3392,6722,26,23,47,3435,3528,6967,76,96,169,2510,2663,5173,20,20,37,2609,2774,5381
ILOC10700710,0,44,96,140,38,33,69,1629,763,2390,3,3,8,1668,797,2466,216,224,434,6082,6138,12219,28,35,56,6319,6392,12716,22,26,49,687,695,1384,0,5,9,716,722,1434,136,142,278,4613,4597,9213,17,22,39,4768,4756,9524,72,82,152,1861,1937,3794,7,14,26,1942,2033,3971
ILOC10700711,0,28,55,86,18,25,39,686,402,1086,0,6,7,697,433,1133,112,170,290,2882,3012,5891,15,36,55,3011,3223,6235,28,43,70,412,453,863,0,5,10,444,497,945,73,110,183,2090,2156,4246,17,31,46,2177,2290,4468,47,80,128,1052,1161,2208,7,17,22,1106,1253,2359
ILOC10700712,0,18,34,56,18,15,31,611,298,908,3,0,8,635,311,948,82,98,187,2140,2280,4424,16,12,29,2245,2389,4636,12,23,35,261,240,502,3,0,4,281,260,543,56,71,125,1650,1714,3367,11,12,21,1714,1798,3515,37,51,88,672,720,1394,8,0,14,725,773,1496
ILOC10700713,0,22,52,71,12,17,32,640,399,1042,0,0,0,657,419,1068,113,123,239,2423,2573,4993,8,8,20,2544,2705,5249,12,11,26,390,405,801,3,5,4,411,422,831,70,80,149,1637,1776,3412,8,5,12,1713,1858,3572,43,50,93,995,1053,2049,4,9,9,1044,1110,2149
ILOC10700801,4,146,270,414,5,16,25,3180,1661,4841,13,8,23,3198,1688,4887,91,109,201,24970,25704,50677,194,185,374,25256,25995,51249,18,30,48,3846,3656,7501,33,41,79,3896,3730,7626,68,87,150,16912,17497,34410,145,124,271,17131,17707,34832,22,40,64,10158,10172,20336,51,76,134,10234,10295,20532
ILOC10700802,3,176,339,523,31,24,55,4790,2110,6900,53,13,62,4872,2143,7017,188,244,432,28842,29516,58365,235,223,460,29262,29988,59252,38,48,85,3860,3903,7762,46,29,75,3942,3986,7928,133,166,298,20237,20507,40745,167,153,314,20538,20822,41361,85,102,187,10667,10998,21666,75,69,143,10823,11166,21995
ILOC10700803,3,134,314,441,73,37,111,5220,2033,7251,44,11,56,5337,2080,7421,300,323,621,22818,24100,46923,147,156,298,23269,24581,47848,41,36,74,3061,3227,6284,25,26,51,3124,3291,6414,204,231,434,16218,17166,33380,105,123,228,16524,17515,34040,113,115,219,8704,9141,17847,45,48,95,8860,9304,18161
ILOC10700804,3,330,538,868,47,46,93,7744,3808,11554,53,22,75,7841,3879,11720,358,408,771,57127,57399,114529,401,404,804,57890,58205,116097,57,97,153,10179,9589,19766,84,34,117,10320,9721,20039,252,271,524,37620,38865,76485,278,287,566,38149,39420,77571,137,195,328,26419,24994,51409,132,101,232,26686,25288,51966
ILOC10700901,5,340,613,953,57,44,104,6358,3458,9814,46,21,74,6464,3527,9988,361,366,725,49385,51249,100633,386,398,785,50137,52007,102150,64,78,138,7163,7260,14418,76,63,142,7300,7400,14700,239,247,487,34509,35872,70382,281,270,555,35034,36391,71424,141,148,288,19225,19819,39044,145,143,290,19509,20112,39619
ILOC10700902,4,192,415,604,22,25,50,5275,2305,7582,33,16,48,5331,2348,7680,213,220,432,30705,31781,62489,213,207,422,31129,32212,63345,42,52,93,3133,3298,6428,23,26,53,3199,3376,6572,142,156,302,24014,24678,48690,161,193,355,24318,25031,49350,86,96,182,8611,9157,17768,67,28,96,8762,9278,18041
ILOC10701001,0,66,184,242,66,42,107,3410,1306,4722,19,6,29,3494,1362,4856,303,276,582,10078,9973,20055,64,65,131,10450,10322,20768,53,54,110,1189,1209,2403,4,8,17,1254,1270,2523,205,185,391,7386,7208,14592,62,50,110,7654,7447,15097,115,121,233,3485,3597,7078,13,25,36,3611,3742,7355
ILOC10701002,0,38,90,132,39,37,71,1319,691,2012,8,4,13,1363,735,2096,191,211,404,4378,4860,9239,24,31,56,4594,5107,9701,38,42,76,864,918,1779,0,8,10,904,966,1872,98,115,212,2851,3132,5982,14,16,34,2960,3262,6225,118,115,230,2196,2431,4627,12,24,37,2325,2568,4894
ILOC10701003,3,72,188,259,95,63,155,3239,1398,4634,19,10,23,3348,1467,4814,441,412,856,9488,9706,19192,65,94,156,9992,10206,20202,90,103,192,1422,1458,2882,12,7,13,1522,1566,3088,274,255,529,6450,6605,13048,51,63,114,6772,6925,13694,196,213,408,4001,4159,8160,23,24,44,4216,4396,8612
ILOC10701101,4,241,461,700,65,45,115,6633,3030,9662,38,11,51,6735,3093,9831,362,388,751,41362,41888,83251,283,256,535,42000,42538,84539,72,80,151,7857,7169,15023,48,40,91,7975,7287,15266,230,257,482,26207,27327,53538,175,187,356,26611,27765,54376,161,182,342,20332,19007,39340,121,86,206,20617,19277,39889
ILOC10701201,10,470,783,1253,63,30,91,11774,5508,17283,61,37,91,11896,5570,17465,349,371,715,110077,117286,227364,503,595,1096,110924,118252,229177,77,81,163,17538,18593,36133,50,77,126,17669,18756,36421,220,222,444,74790,80001,154798,395,455,852,75404,80687,156087,186,206,393,48508,51657,100166,131,184,316,48827,52042,100876
ILOC10701301,3,229,429,658,34,20,55,6296,2870,9157,32,11,48,6362,2905,9264,198,181,378,47604,50269,97870,241,234,477,48047,50687,98728,55,45,106,10676,11239,21916,41,35,79,10779,11324,22095,111,113,221,29913,32053,61970,184,180,367,30212,32346,62555,136,115,254,26131,27196,53325,81,78,156,26352,27384,53737
ILOC10701401,7,172,307,481,37,22,57,5157,2234,7394,27,16,38,5223,2267,7490,169,218,389,32516,34414,66929,154,168,326,32843,34799,67639,42,51,90,6003,6311,12315,35,28,61,6078,6391,12464,100,130,235,21785,23145,44933,119,117,236,22007,23391,45399,92,129,219,15229,16113,31345,56,65,117,15381,16303,31684
ILOC10701402,0,121,217,330,24,10,42,3248,1508,4759,32,10,36,3306,1530,4831,121,116,237,23065,24022,47091,138,114,250,23320,24258,47580,12,24,37,4313,4435,8749,10,27,36,4347,4484,8826,71,81,148,15430,16341,31773,98,88,187,15602,16513,32114,58,64,121,11030,11190,22218,42,47,87,11130,11303,22427
ILOC10701501,0,49,119,169,45,23,66,2289,896,3189,21,9,32,2357,923,3276,157,159,319,8126,8339,16463,75,83,160,8358,8584,16941,35,25,56,1180,1293,2473,11,12,21,1223,1331,2548,91,95,185,5571,5764,11333,51,59,112,5710,5929,11638,89,76,168,3414,3619,7040,34,24,61,3540,3727,7263
ILOC10701502,3,224,521,746,179,156,334,8148,3970,12111,48,18,68,8381,4143,12517,997,1024,2025,25426,26684,52111,259,248,500,26681,27956,54636,210,229,431,3710,3949,7661,29,43,69,3944,4215,8163,605,637,1248,18004,18713,36717,173,192,367,18781,19539,38328,472,492,962,9887,10761,20642,87,78,161,10438,11326,21771
ILOC10701601,3,90,141,229,20,26,49,2233,1041,3273,8,9,18,2262,1078,3340,202,230,432,18757,20698,39456,107,120,230,19070,21045,40116,39,58,97,4616,4886,9503,13,15,28,4671,4962,9633,121,150,273,11243,12632,23878,78,78,153,11438,12863,24302,98,118,214,11072,11946,23015,27,49,74,11194,12114,23311
ILOC10701701,9,334,652,985,108,85,192,8090,3877,11965,52,30,79,8248,3996,12238,802,824,1625,43083,44193,87277,335,405,735,44225,45418,89643,151,165,317,6954,6916,13871,48,49,99,7153,7126,14282,511,516,1029,28284,29146,57429,221,281,502,29018,29939,58964,333,391,722,18880,19178,38058,107,122,231,19319,19691,39008
ILOC10701702,4,220,436,660,52,37,90,6377,2948,9324,25,19,37,6451,3000,9453,336,368,705,34039,34671,68712,228,214,444,34608,35256,69855,62,56,121,4348,4552,8894,30,25,57,4438,4637,9076,216,225,443,23073,23364,46442,156,151,305,23453,23740,47194,139,179,317,13326,13958,27292,62,74,137,13529,14210,27744
ILOC10701801,0,0,3,3,0,0,0,58,19,79,0,0,0,59,19,77,3,3,3,135,144,278,3,3,8,140,148,292,0,0,3,23,24,48,0,0,0,27,27,50,0,3,0,98,99,196,3,0,4,102,106,201,0,0,5,60,59,116,0,0,3,64,57,117
ILOC10701901,0,194,265,459,79,47,125,4012,1958,5971,27,11,34,4112,2021,6130,412,452,862,28349,29335,57684,160,144,303,28926,29927,58853,111,126,229,6984,7509,14494,34,27,63,7131,7657,14791,255,268,525,17542,18080,35621,108,99,205,17903,18446,36349,237,272,503,16818,17845,34667,68,52,128,17129,18169,35298
ILOC10702001,6,431,688,1117,99,41,145,13101,5404,18507,73,29,104,13278,5473,18752,405,377,787,72695,76036,148735,396,508,901,73500,76922,150421,86,78,166,12460,13051,25504,56,53,105,12601,13176,25777,262,242,510,47376,49872,97251,286,338,624,47920,50454,98377,197,196,390,34575,36084,70660,148,167,320,34925,36443,71369
ILOC10702002,0,115,261,370,37,19,51,5161,1850,7017,30,10,43,5234,1880,7113,154,145,302,23352,24432,47783,139,163,297,23644,24737,48379,28,30,58,3471,3699,7164,21,17,40,3513,3746,7258,119,90,208,15663,16465,32126,106,118,226,15892,16675,32565,59,76,133,10236,10892,21127,46,53,96,10335,11024,21355
ILOC10702101,3,112,137,250,28,14,39,1994,1132,3129,10,9,20,2030,1153,3185,101,90,191,18591,18134,36724,100,102,201,18790,18326,37120,43,37,84,7445,6703,14151,27,27,53,7520,6770,14290,42,55,100,8367,8534,16901,51,54,108,8459,8643,17100,93,78,172,16194,14738,30927,59,54,112,16346,14866,31210
ILOC10702102,0,108,199,303,24,27,51,2972,1348,4324,25,10,33,3017,1384,4400,108,150,257,20378,21147,41528,127,154,279,20616,21443,42059,32,45,76,3961,4042,8001,25,18,47,4023,4104,8126,73,90,167,12806,13476,26290,98,103,200,12980,13673,26651,61,88,145,10431,10643,21069,45,41,85,10531,10770,21307
ILOC10702103,0,80,191,268,33,25,52,2814,1114,3927,16,3,26,2863,1136,4004,185,177,367,15459,16259,31715,87,92,174,15732,16521,32258,23,14,38,2327,2309,4630,12,19,33,2356,2338,4698,137,122,262,10468,11134,21602,59,68,129,10664,11324,21991,60,55,116,6453,6490,12938,26,34,58,6533,6579,13111
