ILOC_CODE_2016,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC10500502,0,3,9,13,13,7,21,70,37,110,0,0,0,83,50,129,76,75,153,300,263,563,4,4,9,379,343,724,4,7,5,56,48,99,0,0,0,59,48,112,58,51,113,227,185,409,3,3,6,283,240,521,22,21,39,107,110,220,0,0,0,130,130,260
ILOC10500503,0,4,9,14,7,0,8,86,37,125,0,0,0,95,39,129,42,53,97,330,346,677,3,3,3,377,399,778,9,4,17,79,73,152,0,4,4,89,83,172,32,35,67,234,236,468,3,4,3,270,265,534,21,15,32,159,168,326,0,3,3,179,185,361
ILOC10500601,3,36,128,159,42,31,75,1721,829,2552,16,11,23,1784,869,2653,191,183,372,6794,6552,13347,104,88,191,7090,6830,13920,52,56,111,917,944,1868,18,20,42,982,1029,2016,117,114,231,4950,4736,9692,67,59,127,5134,4916,10046,98,112,209,2407,2467,4874,42,45,92,2553,2617,5174
ILOC10500701,5,75,178,251,56,29,89,1943,877,2818,21,3,22,2017,913,2932,228,240,469,7513,7461,14972,96,120,215,7839,7819,15660,79,60,142,877,941,1822,17,19,32,974,1021,1996,139,150,294,5627,5508,11135,85,90,176,5855,5753,11606,131,117,250,2418,2540,4961,30,27,55,2572,2691,5265
ILOC10500801,0,28,65,98,35,24,57,743,353,1099,7,7,12,785,385,1170,169,157,322,2712,2847,5559,34,58,98,2914,3062,5980,35,35,71,394,426,814,11,5,14,435,468,902,111,99,210,1971,2089,4056,29,47,70,2110,2230,4344,68,78,151,1006,1056,2061,16,21,36,1088,1159,2245
ILOC10500901,0,46,108,160,60,56,116,1291,581,1875,5,4,11,1359,640,2001,402,372,779,4501,4575,9074,55,60,114,4957,5011,9965,74,85,154,602,664,1265,5,8,8,680,750,1430,263,227,490,3246,3232,6475,41,39,83,3553,3501,7052,159,188,342,1652,1795,3448,8,20,31,1817,1995,3817
ILOC10501001,0,28,50,74,11,17,25,743,378,1121,4,8,7,761,402,1158,112,134,246,2574,2744,5319,43,43,84,2734,2918,5647,31,44,70,399,425,823,3,6,15,430,474,905,78,82,157,1837,1937,3777,23,33,60,1939,2047,3988,50,79,124,989,1074,2063,13,14,35,1050,1168,2223
ILOC10501002,0,19,48,63,14,5,24,854,326,1182,8,0,11,879,337,1217,91,121,212,2788,2839,5629,40,26,63,2921,2983,5900,19,36,51,505,571,1071,4,8,13,529,612,1139,58,79,133,1877,1871,3750,34,21,49,1970,1963,3938,35,66,106,1271,1379,2649,11,14,24,1324,1464,2780
ILOC10501101,0,35,75,107,60,62,123,835,393,1228,10,9,20,907,460,1371,393,408,801,3194,3122,6320,79,64,142,3663,3592,7259,83,99,181,435,488,925,10,16,25,532,606,1133,256,264,520,2256,2207,4468,52,43,91,2568,2511,5083,166,200,369,1200,1218,2419,27,23,51,1394,1442,2835
ILOC10501201,0,63,158,220,91,58,147,2346,1064,3411,25,15,38,2452,1134,3594,460,448,913,8971,9060,18032,109,95,208,9545,9607,19147,110,122,232,1495,1505,2995,20,14,35,1622,1645,3265,260,271,535,6398,6397,12798,86,73,167,6749,6749,13492,233,239,474,3562,3662,7225,34,27,68,3828,3931,7761
ILOC10501202,0,37,91,127,46,24,71,1076,478,1550,10,5,16,1126,508,1641,238,240,477,3996,4007,8005,53,62,117,4284,4315,8599,58,64,119,606,646,1255,9,11,15,666,723,1389,138,135,272,2855,2808,5662,34,27,63,3025,2970,5995,120,125,247,1532,1639,3164,17,18,36,1664,1781,3447
ILOC10501301,4,57,119,171,45,37,73,1227,583,1815,17,4,20,1282,625,1908,202,220,427,4676,4713,9393,72,60,134,4955,4996,9948,49,65,116,613,636,1253,11,13,29,672,719,1389,134,146,287,3551,3461,7012,54,49,100,3745,3658,7401,85,113,197,1498,1638,3133,18,16,37,1599,1769,3367
ILOC10501401,0,6,22,33,31,26,63,182,93,274,3,3,4,219,120,344,248,315,560,757,768,1528,14,17,28,1022,1096,2116,60,72,131,128,135,260,3,5,4,186,211,397,170,210,382,537,542,1074,13,10,19,717,759,1477,96,137,234,299,313,611,3,7,11,398,459,861
ILOC10501402,0,18,25,48,11,8,17,205,74,280,4,0,8,222,80,300,63,58,117,978,875,1846,12,11,25,1051,938,1987,9,4,15,69,73,143,0,0,3,84,77,162,48,41,84,772,675,1445,14,4,13,823,717,1544,26,15,41,221,214,431,0,6,6,239,237,477
ILOC10501403,0,4,10,9,9,13,20,73,34,110,0,0,0,79,50,127,98,103,203,341,365,708,0,0,0,440,462,910,6,10,23,55,57,105,0,0,0,60,69,130,62,63,123,247,255,497,0,0,0,307,317,626,26,43,70,125,144,268,0,0,0,158,182,338
ILOC10501501,0,85,189,273,91,64,156,2425,984,3411,26,7,34,2545,1061,3601,456,452,902,7362,7384,14746,108,117,227,7927,7951,15877,79,84,161,949,1047,1996,18,19,38,1047,1150,2205,305,291,597,5440,5299,10740,73,80,150,5823,5669,11490,171,205,378,2570,2804,5375,41,35,78,2787,3045,5833
ILOC10501502,0,24,53,74,11,9,24,594,193,787,5,0,5,609,202,814,55,54,115,1919,1860,3780,16,18,37,1995,1934,3923,19,20,46,299,291,594,0,0,3,327,311,641,35,33,70,1360,1317,2680,17,11,33,1413,1362,2778,38,38,74,752,728,1479,3,4,6,792,769,1559
ILOC10501601,3,112,201,314,128,72,203,2826,1205,4035,37,17,48,2995,1288,4287,538,504,1039,8775,8705,17471,146,149,290,9455,9349,18805,145,135,283,1503,1562,3060,39,19,57,1686,1714,3402,273,262,532,5853,5644,11497,83,86,172,6207,5999,12206,297,301,597,3909,4055,7963,63,49,113,4274,4402,8673
ILOC10501701,0,30,35,71,24,15,47,474,221,696,0,0,0,501,241,739,182,214,401,1856,1868,3724,31,21,50,2066,2106,4175,62,51,116,283,288,573,0,0,0,348,342,691,133,161,293,1397,1390,2785,9,16,32,1542,1561,3108,86,84,170,632,680,1309,6,5,11,719,777,1499
ILOC10501801,0,33,65,97,45,35,79,872,504,1378,8,0,5,919,543,1460,192,184,371,3041,3263,6300,26,27,55,3255,3474,6725,67,69,137,675,691,1365,3,6,9,748,761,1513,112,106,215,1929,2072,4008,19,20,42,2060,2200,4259,121,119,242,1560,1682,3237,7,8,18,1683,1808,3498
ILOC10501802,0,26,49,68,30,34,60,527,337,867,4,0,6,558,371,935,205,243,447,1937,2102,4038,24,22,46,2162,2363,4529,73,61,131,408,497,903,4,0,12,482,556,1041,109,115,224,1192,1315,2510,16,15,32,1318,1439,2760,121,159,285,1032,1193,2220,16,7,20,1164,1360,2522
ILOC10501803,3,26,43,63,17,24,38,790,415,1210,0,4,7,808,442,1257,112,105,210,2985,3185,6167,15,21,37,3115,3309,6420,34,34,73,641,635,1269,6,3,10,676,675,1350,57,58,111,1806,1885,3687,14,19,34,1877,1966,3840,75,70,151,1638,1780,3412,8,7,14,1722,1860,3576
ILOC10501804,0,31,50,75,22,30,50,276,188,461,3,3,5,303,219,523,202,187,383,1104,1142,2248,28,27,48,1323,1358,2680,51,62,109,219,231,448,10,6,13,273,300,568,110,103,213,765,754,1526,17,17,33,887,876,1768,100,115,214,466,541,1010,11,8,20,583,663,1246
ILOC10501805,0,17,19,33,15,5,20,297,157,451,3,0,4,307,159,475,44,45,83,1298,1616,2911,22,20,39,1362,1677,3040,29,18,45,287,333,618,4,3,7,317,361,675,21,23,45,863,1068,1928,20,14,32,900,1105,2001,39,38,76,672,823,1492,4,8,12,713,867,1583
ILOC10501806,0,15,33,51,23,4,25,625,284,906,3,4,4,648,292,943,72,77,147,2112,2008,4123,23,27,49,2203,2112,4322,22,27,53,497,490,983,0,0,4,516,520,1038,33,45,77,1317,1232,2550,20,19,42,1376,1298,2668,49,56,99,1162,1141,2301,3,5,8,1209,1204,2411
ILOC10501807,0,13,21,33,3,8,19,282,158,439,3,0,3,296,167,455,59,65,125,997,997,1994,8,10,18,1066,1076,2140,13,15,32,177,203,381,4,3,3,197,228,424,38,40,72,694,699,1386,9,9,9,733,740,1471,31,37,64,416,466,881,3,0,7,450,500,955
ILOC10501901,0,34,89,121,20,23,41,1149,502,1654,12,3,15,1183,525,1708,182,192,371,3994,4000,7999,51,50,103,4225,4241,8468,33,53,81,567,594,1154,16,10,29,615,655,1265,108,122,234,2993,2903,5902,45,39,81,3147,3066,6211,69,95,169,1375,1470,2846,16,17,34,1468,1580,3045
ILOC10502001,4,97,226,320,60,39,94,3127,1373,4502,44,11,46,3228,1426,4648,285,277,560,10891,10796,21680,147,110,258,11314,11184,22504,91,78,173,1415,1530,2952,15,17,30,1522,1627,3153,173,166,341,8131,7842,15978,96,72,171,8402,8078,16482,155,155,303,3606,3932,7544,40,40,78,3800,4121,7926
ILOC10502101,0,71,118,188,64,50,110,1459,766,2225,13,4,21,1532,819,2353,290,265,559,5009,5204,10211,49,37,88,5346,5510,10858,86,117,198,1023,1099,2116,10,6,21,1112,1222,2340,161,135,293,3296,3424,6725,46,25,68,3502,3581,7088,179,212,393,2429,2646,5077,15,17,29,2617,2874,5492
ILOC10502102,0,21,53,74,18,12,28,635,307,941,0,4,8,652,325,976,79,79,155,2044,2169,4216,9,23,38,2142,2270,4409,32,32,64,619,698,1312,3,5,9,652,737,1391,50,49,98,1203,1270,2469,9,22,29,1258,1338,2599,51,59,106,1391,1545,2942,4,11,16,1446,1616,3066
ILOC10502103,0,34,81,116,33,14,53,1378,692,2071,10,3,9,1426,709,2138,132,133,263,4656,4983,9636,18,26,44,4804,5139,9948,42,45,86,872,936,1806,8,3,19,924,987,1911,80,62,147,2978,3175,6154,21,20,36,3073,3261,6335,70,92,158,2376,2584,4958,13,5,21,2461,2681,5140
