ILOC_CODE_2016,IAD_HHs_with_Ind_p,IAD_Oth_households,IAD_Tot_households,INAD_HHs_with_Ind_p,INAD_Oth_households,INAD_Tot_households,IA_NS_Indig_per,IA_NS_Oth_households,IA_NS_Tot_households,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC10500701,232,5030,5262,64,1845,1911,15,259,277,309,7134,7450
ILOC10500801,133,1976,2112,60,751,817,7,87,97,206,2820,3024
ILOC10500901,296,3164,3464,120,1156,1275,20,159,178,439,4479,4920
ILOC10501001,90,1979,2071,62,688,742,9,87,98,157,2745,2906
ILOC10501002,85,2150,2235,36,601,636,4,85,87,124,2836,2958
ILOC10501101,310,2101,2404,121,791,914,18,110,128,449,2998,3447
ILOC10501201,331,5867,6201,183,1781,1962,25,279,310,540,7932,8468
ILOC10501202,184,2670,2848,82,839,923,8,131,143,270,3637,3909
ILOC10501301,179,3082,3260,64,1137,1200,8,207,216,251,4421,4672
ILOC10501401,147,472,620,119,257,369,18,32,47,280,757,1036
ILOC10501402,46,594,637,19,214,232,4,26,31,68,837,907
ILOC10501403,31,221,258,48,105,152,5,14,19,83,344,425
ILOC10501501,389,5255,5644,130,1815,1948,24,241,266,547,7314,7859
ILOC10501502,55,1315,1366,19,437,460,5,58,62,86,1808,1895
ILOC10501601,453,6393,6843,176,1943,2118,18,290,308,641,8629,9265
ILOC10501701,159,1268,1428,80,503,583,9,67,72,243,1840,2084
ILOC10501801,169,2480,2651,56,569,620,4,61,71,230,3110,3343
ILOC10501802,168,1511,1680,77,513,593,6,76,83,259,2095,2351
ILOC10501803,109,2381,2486,14,382,394,8,82,84,127,2842,2971
ILOC10501804,113,794,906,93,401,493,10,55,63,221,1249,1472
ILOC10501805,43,1182,1230,23,402,426,6,97,107,72,1685,1762
ILOC10501806,80,1558,1641,8,171,179,4,45,53,99,1774,1873
ILOC10501807,57,702,758,8,171,183,0,28,28,67,900,970
ILOC10501901,151,2762,2915,58,1035,1099,9,115,125,222,3913,4136
ILOC10502001,266,7676,7938,74,2403,2478,20,332,351,362,10410,10771
ILOC10502101,261,4091,4352,96,1004,1094,29,157,183,379,5251,5629
ILOC10502102,85,2065,2154,40,588,628,7,84,92,138,2739,2875
ILOC10502103,157,3684,3840,11,399,410,5,62,69,169,4151,4319
ILOC10502104,167,3628,3798,31,516,544,9,109,119,206,4257,4462
ILOC10502105,418,3295,3709,222,1012,1238,28,158,186,670,4461,5125
ILOC10502201,173,3183,3356,68,1077,1145,6,148,159,251,4413,4666
ILOC10600101,61,1099,1159,40,362,407,10,64,70,110,1523,1632
ILOC10600102,215,8153,8370,49,1701,1744,13,291,304,272,10148,10419
ILOC10600103,45,805,854,42,271,314,4,49,51,89,1122,1215
ILOC10600201,259,4618,4876,120,1161,1283,10,197,206,387,5979,6371
ILOC10600202,15,61,81,13,19,33,0,9,8,25,91,117
ILOC10600203,192,4785,4977,59,935,996,14,150,171,263,5874,6143
ILOC10600204,61,643,705,43,273,323,9,38,47,115,953,1065
ILOC10600205,35,892,926,25,327,353,4,44,50,63,1264,1331
ILOC10600206,4,8,13,6,0,6,0,0,0,17,8,20
ILOC10600301,83,947,1029,23,301,324,0,33,37,111,1277,1385
ILOC10600302,745,7128,7869,259,1915,2173,45,277,322,1049,9313,10366
ILOC10600303,1019,19635,20648,204,4678,4876,44,800,842,1267,25106,26374
ILOC10600401,477,11894,12371,145,1926,2067,23,353,374,641,14166,14807
ILOC10600402,304,10161,10462,63,1980,2048,17,422,443,390,12563,12955
ILOC10600501,372,7638,8014,112,2372,2482,14,324,341,497,10334,10831
ILOC10600502,246,7084,7337,60,1679,1741,8,229,234,311,8989,9306
ILOC10600503,369,14619,14985,65,2300,2363,10,411,422,439,17327,17768
ILOC10700101,113,21939,22047,26,2931,2954,13,1026,1036,151,25894,26042
ILOC10700201,394,52951,53344,36,3125,3157,10,937,951,447,57013,57457
ILOC10700301,145,862,1008,81,326,405,4,49,53,231,1237,1466
ILOC10700302,92,635,730,34,221,257,10,44,49,134,903,1034
ILOC10700303,272,10826,11100,28,774,802,5,296,301,303,11895,12197
ILOC10700304,358,15369,15722,72,2325,2395,18,608,627,446,18294,18739
ILOC10700305,46,615,662,12,120,136,4,32,31,66,766,835
ILOC10700306,327,8428,8751,90,1227,1319,20,294,318,435,9950,10387
ILOC10700307,39,436,474,23,179,201,0,18,21,61,634,696
ILOC10700308,79,2447,2526,10,188,200,3,52,59,93,2688,2783
ILOC10700309,131,3727,3860,24,339,360,4,91,101,163,4164,4326
ILOC10700310,80,1006,1091,34,244,270,3,69,73,117,1320,1437
ILOC10700311,87,3752,3838,12,450,454,0,108,113,96,4312,4406
ILOC10700312,133,3431,3559,51,846,893,14,188,201,191,4463,4654
ILOC10700313,136,901,1038,67,344,416,13,51,65,220,1297,1513
ILOC10700314,102,2481,2576,29,553,581,4,106,106,135,3136,3266
ILOC10700315,254,5429,5684,105,1161,1268,23,232,254,375,6828,7203
ILOC10700316,120,8371,8491,3,492,498,0,152,154,128,9017,9148
ILOC10700317,192,7430,7625,30,562,589,3,166,173,226,8156,8383
ILOC10700318,86,3215,3304,16,451,467,7,103,113,111,3771,3881
ILOC10700319,140,1122,1257,64,337,400,15,61,76,221,1516,1732
ILOC10700320,162,2277,2434,61,421,479,11,87,97,226,2783,3011
ILOC10700401,107,4061,4167,8,377,387,0,69,70,108,4506,4620
ILOC10700402,246,8102,8345,17,858,875,3,155,158,268,9117,9383
ILOC10700403,187,6129,6321,29,980,1007,19,177,190,235,7283,7517
ILOC10700404,150,3454,3607,12,388,404,0,70,69,160,3914,4075
ILOC10700405,59,2531,2586,4,317,326,0,55,56,65,2902,2965
ILOC10700501,312,13143,13458,84,2357,2442,17,502,520,409,16008,16424
ILOC10700601,749,21293,22044,77,2168,2243,21,457,480,855,23918,24775
ILOC10700701,125,455,582,67,241,305,9,33,46,201,737,939
ILOC10700702,141,3044,3191,49,400,441,16,88,95,199,3528,3730
ILOC10700703,147,2321,2461,28,407,435,3,72,79,175,2794,2970
ILOC10700704,28,563,589,0,93,92,0,13,14,31,670,696
ILOC10700705,379,7357,7734,77,1635,1706,22,267,288,476,9262,9736
ILOC10700706,168,2374,2544,50,468,520,0,73,74,220,2916,3143
ILOC10700707,155,5189,5344,37,846,880,4,170,170,199,6196,6398
ILOC10700708,223,5751,5976,76,1080,1158,17,210,229,317,7040,7358
ILOC10700709,140,3436,3576,42,572,613,9,117,127,187,4126,4319
ILOC10700710,183,3974,4161,23,447,473,5,94,96,214,4512,4732
ILOC10700711,115,1872,1988,33,321,354,3,60,66,156,2250,2408
ILOC10700712,89,1532,1613,16,189,203,0,43,45,100,1760,1863
ILOC10700713,100,1669,1766,12,216,227,3,40,49,113,1922,2036
ILOC10700801,100,14590,14689,28,3142,3172,8,666,673,136,18401,18540
ILOC10700802,193,16542,16739,65,3836,3906,8,761,774,271,21147,21411
ILOC10700803,297,15642,15936,57,2902,2958,5,450,463,363,18997,19360
ILOC10700804,377,38161,38540,85,8180,8259,24,1641,1670,490,47979,48468
ILOC10700901,301,27395,27694,132,7672,7806,27,1428,1452,462,36495,36954
ILOC10700902,198,17121,17317,30,2758,2787,6,592,602,234,20470,20708
ILOC10701001,284,6691,6970,34,791,821,8,176,184,318,7655,7977
ILOC10701002,195,3496,3692,51,812,866,7,106,114,257,4421,4678
ILOC10701003,399,6717,7113,75,1075,1147,13,199,212,488,7991,8476
ILOC10701101,373,27807,28181,104,5067,5173,8,1064,1075,491,33940,34430
ILOC10701201,405,84590,84991,39,5977,6016,15,1563,1578,458,92130,92584
ILOC10701301,221,39892,40112,35,4668,4704,4,1018,1026,254,45590,45844
ILOC10701401,215,23946,24163,43,3657,3699,9,750,758,270,28350,28624
ILOC10701402,134,17256,17385,18,2187,2207,3,446,445,152,19891,20039
ILOC10701501,178,6485,6667,18,851,869,0,152,154,196,7489,7688
ILOC10701502,952,18138,19087,189,3754,3943,41,573,613,1182,22462,23643
ILOC10701601,226,19077,19305,86,1679,1764,8,439,447,320,21195,21515
ILOC10701701,683,27549,28228,227,5910,6134,43,1242,1286,952,34697,35648
ILOC10701702,287,19365,19651,62,2131,2191,9,651,662,360,22144,22506
ILOC10701801,0,115,118,0,10,10,0,6,9,3,130,132
ILOC10701901,496,26733,27229,95,3428,3521,24,891,911,612,31052,31667
ILOC10702001,479,59270,59743,45,6052,6099,25,1509,1535,553,66824,67373
ILOC10702002,175,18440,18619,11,1456,1461,11,472,481,195,20369,20562
ILOC10702101,136,17285,17424,33,2052,2089,8,654,662,179,19993,20173
ILOC10702102,150,15452,15602,45,2054,2095,8,440,453,196,17951,18147
ILOC10702103,168,11241,11411,30,1588,1611,0,336,342,200,13170,13371
ILOC10702104,92,8740,8831,50,2033,2075,7,507,515,146,11281,11429
ILOC10702201,484,7406,7886,60,814,874,13,187,197,554,8404,8965
ILOC10702202,220,5724,5944,16,381,391,8,101,112,241,6207,6448
ILOC10702203,506,8671,9174,93,1838,1931,26,402,424,627,10900,11530
ILOC10702204,615,9344,9964,126,1578,1704,28,262,288,772,11183,11954
ILOC10702205,481,6541,7017,140,1801,1941,30,312,343,652,8655,9301
ILOC10702206,335,9222,9558,33,865,897,17,232,250,392,10318,10707
ILOC10702207,176,3951,4125,13,542,555,4,99,102,194,4589,4779
ILOC10702301,101,1760,1857,56,268,317,8,169,178,169,2191,2354
ILOC10702302,566,40655,41221,160,5253,5412,30,1357,1391,752,47267,48018
ILOC10702401,318,30928,31251,56,5444,5501,8,1197,1205,387,37571,37952
ILOC10702501,539,34006,34542,84,4597,4681,20,874,896,638,39482,40121
ILOC10702502,543,31942,32486,54,3038,3090,17,651,661,609,35631,36239
ILOC10702601,413,25932,26342,168,2584,2748,25,883,904,606,29393,29994
ILOC10702602,219,22277,22499,70,2554,2618,19,736,754,307,25560,25870
ILOC10702603,217,22411,22629,79,2052,2132,8,983,989,303,25441,25749
ILOC10702604,94,2855,2944,64,616,677,8,174,182,158,3647,3804
ILOC10702701,131,13062,13193,19,1856,1879,5,550,556,153,15468,15621
ILOC10702702,58,9990,10054,16,1506,1521,0,384,384,75,11880,11957
ILOC10702703,200,27900,28104,29,3278,3306,3,691,692,232,31868,32102
ILOC10702704,59,10914,10967,11,1211,1218,10,478,482,73,12598,12674
ILOC10702801,116,36080,36202,16,2683,2700,5,755,754,137,39523,39658
ILOC10702802,152,37416,37568,21,2741,2759,6,781,789,181,40937,41113
ILOC10702901,579,11812,12389,67,1665,1733,26,331,356,668,13811,14480
ILOC10703001,2050,57064,59116,484,12264,12742,90,2009,2102,2626,71338,73960
ILOC10703101,159,22101,22262,8,2172,2176,5,720,726,170,24994,25166
ILOC10703102,70,19086,19151,8,1350,1359,3,592,589,76,21027,21105
ILOC19499494,0,0,0,0,0,0,0,0,0,0,0,0
ILOC19799797,0,0,0,0,0,0,0,0,0,0,0,0
ILOC20100101,122,22665,22783,29,4538,4569,11,894,903,161,28098,28257
ILOC20100102,188,25679,25873,41,6038,6083,16,1341,1351,244,33056,33307
ILOC20100201,321,26587,26906,43,3363,3409,12,719,729,382,30660,31043
ILOC20100301,401,34478,34880,59,3664,3719,16,920,931,474,39062,39536
ILOC20100401,281,28513,28794,50,3338,3388,17,967,987,350,32814,33166
ILOC20100402,390,51444,51831,56,5615,5666,18,1448,1464,458,58503,58958
ILOC20100501,275,47180,47453,38,7166,7206,12,1366,1375,324,55709,56036
ILOC20100502,205,16561,16771,23,1764,1794,9,411,425,240,18745,18980
ILOC20100503,354,24702,25056,81,4628,4711,23,915,945,459,30247,30708
ILOC20100601,187,38307,38497,68,8065,8137,19,1912,1928,276,48290,48563
