ILOC_CODE_2016,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC10100101,22,243,3,275,11,72,0,82,40,298,4,342,18,94,0,106,15,56,5,77,0,0,0,4,10,37,108,153,115,802,124,1039,41,299,8,346,17,46,0,64,48,262,3,309,16,74,0,88,7,51,0,55,0,3,0,3,7,46,94,146,135,774,100,1011,70,547,7,624,25,116,0,138,84,559,7,653,33,164,4,196,24,108,3,135,0,6,0,3,15,81,200,296,245,1577,228,2053
ILOC10100201,170,1716,6,1893,78,266,0,338,219,1433,17,1667,72,281,4,360,49,201,4,256,0,21,0,23,25,105,347,481,619,4020,379,5017,246,2262,26,2532,93,303,0,401,250,1435,17,1701,97,287,3,392,53,198,0,251,3,12,0,15,42,165,399,608,780,4672,447,5900,413,3985,36,4428,166,567,5,741,474,2862,34,3369,168,575,9,752,100,402,3,503,3,36,0,36,67,273,741,1089,1397,8694,827,10914
ILOC10100202,34,420,0,459,18,58,0,73,61,308,3,373,23,96,0,122,26,98,3,132,0,9,0,5,8,41,117,167,172,1036,121,1330,42,513,0,554,7,58,0,69,61,304,0,360,14,103,4,121,13,82,0,100,6,9,0,11,17,46,120,188,161,1109,124,1397,78,936,0,1011,25,115,0,143,121,615,3,738,36,195,4,236,42,180,3,229,6,19,0,23,25,89,239,347,338,2147,248,2730
ILOC10100203,70,1141,3,1216,16,147,3,162,95,747,5,854,30,167,3,198,20,112,0,132,0,10,0,7,13,68,151,230,254,2390,168,2806,90,1424,6,1522,27,158,0,185,92,769,5,872,29,173,3,202,27,139,3,171,7,7,0,18,16,101,124,248,296,2771,141,3216,163,2572,8,2743,43,300,4,353,187,1518,14,1718,58,333,5,406,52,250,3,302,11,13,0,24,29,172,276,481,549,5162,308,6023
ILOC10100204,36,930,14,981,17,149,3,167,77,1005,11,1093,23,220,3,246,9,131,0,142,0,7,0,7,13,52,228,295,171,2486,263,2920,57,1224,14,1290,13,144,3,166,57,762,13,834,15,128,3,146,5,71,0,80,0,3,0,5,0,51,212,265,148,2392,238,2781,88,2152,25,2267,29,293,7,331,129,1767,26,1924,34,350,6,392,16,199,5,223,0,11,0,11,12,108,440,559,320,4879,508,5703
ILOC10100205,92,898,7,999,34,154,0,191,130,769,14,914,64,165,6,231,29,117,6,146,3,8,0,9,18,59,201,287,377,2166,235,2775,114,1085,9,1202,54,174,0,229,163,766,11,941,53,193,3,252,36,107,3,146,3,13,0,15,21,83,227,340,447,2421,252,3124,211,1980,16,2203,88,328,0,419,297,1535,26,1854,119,361,11,481,60,225,8,296,6,20,0,23,43,143,432,623,824,4591,486,5900
ILOC10100301,28,346,0,378,18,59,3,82,50,501,9,554,23,165,3,194,28,154,3,184,3,0,0,3,11,57,120,197,168,1283,144,1593,27,497,9,535,27,75,3,103,73,446,4,520,37,137,0,181,19,103,3,132,0,3,0,9,16,71,104,185,201,1341,116,1666,57,843,8,913,42,136,8,183,119,950,14,1077,67,307,3,370,52,259,5,316,5,9,0,9,24,130,222,382,367,2627,264,3258
ILOC10100401,46,293,3,335,15,61,0,80,68,374,6,450,36,100,0,140,19,90,0,107,7,0,0,7,9,37,109,159,196,956,123,1279,91,371,3,463,20,84,0,102,105,330,3,437,25,120,0,148,21,73,0,99,0,8,0,8,20,49,126,192,277,1025,136,1443,134,660,5,800,34,142,0,179,178,711,11,893,59,223,5,286,41,162,0,200,7,9,0,11,33,81,237,353,480,1986,260,2726
ILOC10100402,5,269,3,282,5,49,0,56,24,242,4,273,9,57,3,66,6,41,0,49,0,0,0,0,0,17,84,104,54,674,95,830,23,345,6,371,3,34,0,44,12,178,0,194,5,25,0,34,9,8,0,18,0,0,0,0,3,6,74,80,58,603,77,740,31,616,10,655,7,82,0,94,36,423,4,468,15,82,3,103,15,47,0,62,0,0,0,0,4,26,156,184,109,1278,175,1565
ILOC10100403,18,58,0,76,3,15,0,18,21,76,0,98,4,36,0,37,9,24,0,34,0,5,0,4,3,6,32,48,58,222,32,313,25,73,0,100,4,9,0,12,15,72,0,93,8,27,0,37,12,16,0,24,0,0,0,0,0,8,26,38,63,213,28,311,38,135,0,175,9,24,0,30,40,148,0,188,15,66,0,75,17,43,3,66,0,3,0,3,4,22,56,85,124,434,64,625
ILOC10100501,63,1049,5,1109,17,208,0,230,91,1067,9,1170,39,277,3,321,37,223,3,267,0,5,0,10,19,132,301,452,262,2962,323,3554,82,1237,5,1324,37,227,0,264,111,1138,6,1261,30,302,9,345,19,216,4,239,0,12,0,9,23,191,326,540,309,3319,351,3981,141,2277,12,2436,57,438,0,495,201,2210,19,2429,70,576,14,658,60,434,10,510,0,14,0,21,43,327,620,989,577,6280,674,7532
ILOC10100502,11,419,4,442,4,73,0,76,20,497,9,523,11,120,0,133,11,94,0,106,3,3,0,11,3,45,136,181,64,1248,149,1465,17,502,3,525,13,79,0,90,26,362,0,387,3,91,0,96,0,51,0,51,0,3,0,3,10,40,136,182,63,1129,138,1333,34,929,7,968,13,149,0,163,41,853,9,910,12,209,3,229,13,147,0,155,3,8,0,14,11,81,267,363,127,2377,293,2796
ILOC10100503,10,49,0,63,5,12,0,16,27,76,3,109,13,27,0,32,8,19,0,29,0,0,0,0,6,10,22,44,75,186,30,291,22,60,0,79,10,9,0,24,21,59,0,84,12,24,0,39,7,17,3,33,0,0,0,0,3,19,22,41,76,196,21,294,31,106,3,137,15,23,0,42,53,135,6,192,19,51,0,72,13,38,0,59,0,0,0,0,9,33,45,83,148,383,52,583
ILOC10100601,18,315,3,337,9,48,0,51,32,291,8,328,22,78,3,97,19,54,3,72,5,5,0,14,16,43,86,141,114,828,102,1040,35,379,7,427,14,37,0,52,39,230,5,276,19,64,0,85,8,38,0,47,0,3,0,4,14,30,96,145,131,787,116,1034,55,698,13,765,23,83,0,103,71,522,11,603,41,139,3,181,23,91,0,118,5,7,0,14,26,79,183,282,247,1615,216,2074
ILOC10100701,35,227,0,262,8,50,0,65,45,238,0,281,16,92,0,111,12,78,0,96,0,0,0,3,8,13,81,101,128,711,82,918,38,314,3,353,14,62,0,72,37,315,3,361,15,78,0,95,10,67,0,82,0,0,0,0,6,30,99,141,123,860,106,1091,74,538,4,614,26,115,0,136,87,554,4,642,32,175,0,205,27,146,0,170,0,0,0,3,14,43,175,234,253,1571,191,2010
ILOC10100702,27,563,8,597,10,90,0,102,33,691,13,735,19,227,0,250,14,203,4,223,0,6,5,5,9,81,188,279,119,1859,218,2199,39,680,11,726,11,106,0,123,42,600,11,654,11,169,4,184,20,99,0,113,0,4,0,4,3,83,176,263,129,1738,198,2064,61,1246,19,1321,24,193,0,219,73,1292,18,1389,37,393,5,433,31,299,4,343,0,5,5,12,17,165,365,544,247,3595,421,4266
ILOC10100801,66,316,6,386,26,61,0,93,127,400,11,544,48,143,4,196,45,111,7,159,3,9,0,13,19,69,162,252,343,1114,189,1643,96,414,7,521,29,70,0,105,119,443,7,572,69,170,9,248,35,80,3,113,0,0,0,3,24,79,174,286,375,1260,207,1842,159,728,18,907,57,137,0,199,253,841,20,1109,119,313,8,446,78,194,7,273,7,5,0,16,45,148,333,534,718,2375,391,3483
ILOC10100802,19,427,4,449,9,62,0,73,45,424,15,476,23,128,3,150,12,113,0,125,0,5,0,3,327,331,169,822,427,1484,193,2109,41,547,5,595,14,79,0,92,29,331,12,373,14,99,0,112,6,71,0,79,0,3,0,3,52,75,162,285,151,1212,181,1546,61,968,6,1040,19,145,0,166,71,760,26,854,30,230,3,267,17,187,0,207,0,9,0,6,375,409,330,1114,581,2698,369,3649
ILOC10200101,141,5024,24,5190,39,396,3,440,151,1695,19,1869,72,435,6,513,57,307,11,377,6,26,0,31,28,198,675,904,500,8086,743,9332,193,5824,31,6051,46,412,3,464,140,1741,17,1899,79,444,5,521,48,332,10,383,3,29,0,28,42,237,734,1007,546,9017,800,10361,331,10849,62,11239,83,813,3,902,295,3437,40,3772,149,876,9,1039,105,639,20,767,11,48,0,65,69,437,1409,1911,1045,17103,1540,19691
ILOC10200201,30,883,9,923,10,168,3,181,43,1049,8,1107,24,337,4,367,24,304,7,332,3,12,0,10,47,263,286,599,185,3013,323,3519,35,1131,12,1172,18,181,0,202,46,1071,15,1130,19,268,4,292,21,254,4,279,0,12,0,14,12,132,317,462,142,3056,360,3558,59,2011,24,2096,27,354,4,384,93,2121,28,2235,48,606,9,663,42,561,10,610,5,24,0,27,55,392,611,1059,329,6066,677,7075
ILOC10200301,58,776,3,837,33,164,0,202,109,888,6,1008,32,240,3,282,32,222,3,254,5,12,0,15,34,104,213,348,307,2403,238,2943,94,1008,6,1101,30,176,3,205,134,862,7,998,48,233,7,288,36,157,7,197,0,15,0,14,20,159,215,394,363,2609,235,3204,151,1778,6,1938,64,341,3,406,242,1751,15,2006,87,475,8,568,68,375,11,453,3,28,0,35,50,259,430,745,670,5008,468,6153
ILOC10200302,21,485,3,508,5,73,0,80,36,569,4,610,19,138,5,161,16,110,0,127,0,7,0,10,10,47,119,179,108,1432,137,1674,32,580,6,616,16,84,3,95,41,432,9,482,12,90,0,102,7,59,3,68,0,0,0,3,7,32,92,139,111,1281,118,1505,52,1063,11,1126,19,152,4,178,73,1002,19,1091,30,229,9,266,23,172,3,199,3,7,0,12,16,85,210,309,223,2711,247,3184
ILOC10200401,11,411,0,434,4,89,3,96,26,501,7,530,10,163,3,176,16,170,0,183,0,5,0,7,11,55,121,180,84,1390,134,1605,18,553,4,579,8,88,0,95,26,484,4,518,8,121,3,132,16,108,3,126,0,3,0,8,7,54,105,167,94,1410,120,1630,34,961,9,1010,13,178,3,195,57,986,11,1049,21,281,5,308,28,273,3,307,3,12,0,16,19,109,225,356,174,2797,254,3231
ILOC10200402,3,13,0,14,7,8,0,10,9,39,0,56,11,17,0,31,9,23,0,35,0,0,0,0,6,7,21,42,46,112,23,184,6,15,0,16,4,9,0,14,13,37,0,54,4,16,0,23,3,25,0,30,0,0,0,0,10,12,20,37,40,118,20,173,10,28,0,37,10,12,0,21,26,84,0,105,17,34,0,56,11,44,0,56,0,0,0,0,19,24,38,75,92,221,46,360
ILOC10200501,14,509,9,530,10,99,0,113,21,607,10,638,16,180,4,200,9,210,7,235,0,10,0,7,9,107,190,307,91,1728,216,2032,19,671,3,693,7,106,0,112,26,564,11,601,12,162,0,180,5,139,3,149,0,3,0,3,3,102,171,276,73,1749,190,2017,29,1180,9,1223,16,207,0,226,47,1173,17,1240,29,343,3,382,19,354,10,380,0,7,0,9,13,214,358,589,163,3478,406,4046
ILOC10200502,79,1687,14,1782,33,320,4,359,112,1893,23,2033,67,553,6,623,54,493,3,555,0,16,0,24,34,239,459,730,381,5212,520,6107,111,2167,20,2292,45,344,3,391,137,1882,26,2044,78,527,9,610,35,354,11,400,3,21,0,20,35,262,456,754,445,5548,513,6509,189,3854,37,4081,77,666,9,746,245,3779,49,4075,140,1079,16,1235,91,851,8,957,5,34,0,42,68,497,913,1483,819,10764,1033,12618
ILOC10200601,5,416,10,431,5,81,3,86,16,452,4,479,3,110,0,118,8,90,0,107,0,0,0,0,3,41,133,173,47,1188,150,1390,14,504,3,525,5,77,0,83,15,360,11,378,4,80,3,86,8,50,0,56,0,0,0,4,0,34,131,171,44,1100,152,1295,28,918,12,957,8,157,6,170,29,812,16,858,12,187,3,199,18,141,0,161,0,0,3,5,5,77,264,347,97,2291,300,2689
ILOC10200602,35,220,3,254,11,65,0,75,39,305,0,346,11,73,0,88,10,80,3,95,0,6,0,8,17,45,46,108,123,797,57,978,30,292,0,322,14,87,0,102,47,330,0,379,11,101,3,120,8,47,0,56,0,5,0,8,21,51,64,136,134,909,70,1115,67,506,0,583,21,145,0,170,89,630,3,722,26,177,4,205,21,129,3,154,0,12,0,13,31,99,110,240,262,1702,129,2096
ILOC10200603,3,0,0,3,3,0,0,3,16,3,0,16,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,31,3,0,0,3,0,0,0,3,12,0,0,12,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,30,5,0,0,5,5,0,0,8,32,3,0,34,17,0,0,17,3,0,0,3,0,0,0,0,0,0,0,0,52,3,0,62
ILOC10200604,20,77,3,98,4,17,0,19,34,160,8,196,23,67,3,87,11,56,6,78,0,0,0,0,7,29,52,97,95,410,68,577,28,99,4,126,9,10,0,22,25,176,4,200,18,75,0,88,5,35,0,47,0,3,0,3,14,25,50,93,91,423,58,576,42,174,5,227,12,32,0,42,54,333,10,397,36,142,3,181,22,100,6,126,0,3,0,3,20,59,108,189,190,835,129,1160
ILOC10200701,24,351,0,373,8,48,0,59,30,258,7,295,21,59,0,83,16,56,0,73,3,4,0,7,13,48,101,161,120,817,104,1041,40,459,8,501,10,52,0,63,46,212,0,256,21,53,0,71,14,36,0,48,3,3,0,5,12,41,113,161,135,861,116,1111,61,807,5,879,21,100,0,119,78,464,8,548,36,115,0,152,25,96,4,122,3,11,0,12,26,94,207,324,247,1680,227,2153
ILOC10200702,62,204,0,269,37,49,0,84,84,230,3,315,54,75,5,135,38,77,3,117,12,12,0,17,45,37,154,231,323,680,163,1171,80,260,8,351,43,46,0,94,123,229,0,354,54,46,0,101,34,51,0,78,0,3,0,4,48,31,146,226,384,673,155,1210,142,466,7,622,84,95,0,182,203,455,7,667,109,120,3,233,64,128,3,198,10,15,0,23,92,67,301,458,709,1355,321,2383
ILOC10200703,13,192,3,208,4,27,0,33,18,145,3,169,16,34,0,47,3,25,0,27,0,3,0,3,8,14,38,59,57,442,42,550,16,238,0,256,7,26,0,33,17,129,0,150,11,20,0,36,11,18,4,24,0,0,0,0,5,11,42,57,68,445,42,556,26,432,4,463,8,58,0,62,36,281,3,324,27,59,0,84,13,40,4,54,0,4,0,7,9,21,79,114,123,892,87,1105
ILOC10200704,5,3,0,6,15,0,0,10,20,16,0,33,23,3,0,25,10,5,0,17,0,0,0,0,3,3,22,29,76,27,26,128,7,3,0,12,15,3,0,17,30,9,0,38,24,3,0,25,3,0,0,7,0,0,0,0,12,3,26,43,84,31,26,142,17,8,0,21,24,7,0,32,48,27,0,77,45,7,0,53,17,8,0,19,0,0,0,0,11,5,52,71,161,58,51,274
ILOC10200801,17,23,3,40,3,3,0,6,30,29,4,66,16,8,0,29,17,21,0,39,0,0,0,3,9,8,14,24,99,87,19,207,16,24,0,43,19,4,0,28,31,27,0,57,18,8,0,26,21,7,0,28,0,0,0,0,3,0,11,13,117,71,14,199,28,45,5,85,27,11,0,33,64,53,3,125,39,14,0,57,41,23,3,70,0,3,0,3,13,8,20,36,212,159,30,406
ILOC10200802,17,506,7,529,13,96,0,107,32,479,0,515,10,134,0,148,16,94,0,107,0,3,0,5,3,60,213,276,88,1371,231,1687,25,619,9,654,9,83,0,92,25,333,4,363,10,71,0,80,4,36,0,44,0,3,0,3,5,42,182,236,76,1189,196,1465,47,1122,18,1185,17,179,0,196,58,812,6,872,20,203,0,228,19,133,0,151,0,6,0,6,10,106,398,508,171,2561,426,3154
ILOC10200803,5,32,0,39,0,7,0,7,10,39,0,50,6,5,0,10,3,11,0,19,0,3,0,3,3,9,10,22,26,107,12,150,6,47,0,53,3,16,0,19,10,33,0,43,3,8,0,10,0,4,0,6,0,0,0,0,7,8,20,29,27,115,20,165,14,79,0,98,7,23,0,27,20,64,0,85,5,15,0,21,7,18,0,26,0,3,0,3,6,16,29,54,61,224,29,309
ILOC10200804,4,19,0,24,7,0,0,5,14,14,0,36,13,0,0,13,13,4,0,19,0,0,0,0,0,0,6,8,48,41,6,101,9,22,0,32,14,5,0,15,17,3,0,16,20,0,0,21,6,0,0,9,5,0,0,5,3,0,9,13,74,30,9,114,16,43,0,55,19,9,0,24,33,22,0,48,33,0,0,28,19,8,0,25,4,0,0,4,4,0,14,17,122,75,14,211
ILOC10200901,34,1036,10,1084,41,290,0,331,110,1311,13,1438,53,335,3,388,19,198,4,232,0,15,0,13,9,104,222,332,269,3292,255,3813,71,1235,7,1318,30,269,3,309,90,1161,12,1267,56,347,3,410,16,218,3,243,3,3,3,6,17,109,218,350,295,3350,249,3898,106,2275,12,2398,65,564,5,631,206,2471,21,2702,106,691,7,804,39,416,14,472,0,18,3,25,27,213,439,685,561,6642,504,7712
ILOC10200902,26,507,3,534,4,150,0,153,34,740,10,784,10,180,3,190,6,122,0,135,0,7,0,7,33,290,152,477,116,1998,165,2281,27,661,4,690,4,121,0,127,39,598,9,641,16,158,6,180,9,81,0,84,3,3,0,4,3,68,125,191,97,1694,142,1929,57,1172,8,1233,10,273,0,282,71,1343,16,1427,26,339,5,373,15,198,4,215,3,11,0,15,36,360,277,667,213,3697,309,4210
ILOC10201001,46,548,5,598,18,118,3,138,59,531,6,591,27,161,0,197,20,133,0,150,0,12,0,10,11,64,178,256,185,1561,197,1942,57,669,7,735,30,114,3,147,76,502,0,584,26,157,3,184,20,105,3,123,0,9,0,5,18,73,208,296,232,1633,223,2088,102,1214,14,1334,49,235,4,285,138,1036,3,1175,55,319,6,382,41,232,3,280,3,13,0,19,33,141,382,558,417,3195,420,4028
ILOC10201002,22,637,6,665,4,143,0,148,51,745,12,809,37,212,3,253,22,174,3,201,3,5,0,7,23,67,240,328,152,1989,265,2412,44,806,8,863,12,117,0,123,64,629,11,699,21,146,0,167,10,86,0,98,0,4,0,4,15,59,222,300,160,1845,245,2260,66,1448,21,1531,19,258,0,279,108,1374,24,1509,56,361,3,418,35,257,3,301,3,12,0,12,32,127,467,620,317,3832,514,4666
ILOC10201003,18,145,3,170,10,28,0,39,34,160,0,192,8,41,0,45,12,31,0,45,0,3,0,3,7,36,62,102,90,439,64,592,28,169,0,193,4,31,0,35,32,140,10,176,15,26,0,40,17,31,0,46,0,0,0,0,6,39,62,114,102,435,74,603,44,310,3,357,14,56,0,70,71,298,9,373,21,65,0,89,24,62,0,92,0,3,0,6,18,77,125,212,191,867,140,1197
ILOC10201101,239,5090,30,5361,114,836,11,958,446,4126,55,4625,165,1055,23,1241,131,726,11,868,10,62,0,74,124,476,1023,1622,1232,12370,1147,14750,390,6047,45,6482,141,841,3,992,476,4424,41,4943,171,1147,17,1342,104,718,9,832,8,63,0,73,92,517,1094,1700,1386,13757,1212,16352,632,11143,69,11841,255,1680,12,1951,924,8552,94,9568,343,2203,35,2576,243,1444,19,1699,20,119,4,148,210,993,2114,3318,2620,26127,2358,31103
ILOC10201102,74,1971,22,2069,35,365,4,407,159,2257,35,2448,53,658,14,726,54,466,12,534,0,17,5,18,18,239,513,775,393,5973,603,6970,111,2623,28,2761,32,396,4,439,144,2079,29,2256,52,561,4,620,35,308,6,355,3,13,0,14,20,240,514,780,396,6223,597,7217,183,4599,53,4830,69,762,15,838,305,4335,62,4697,107,1221,18,1346,84,782,17,886,4,29,3,33,41,483,1029,1552,788,12198,1193,14189
ILOC10201201,0,0,0,3,3,0,0,3,9,0,0,9,3,0,0,3,7,0,0,7,0,0,0,0,0,0,0,0,23,0,0,26,0,0,0,0,8,0,0,8,8,0,0,8,14,0,0,14,11,0,0,11,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,3,7,0,0,7,14,0,0,14,17,0,0,17,20,0,0,20,0,0,0,0,0,0,0,0,59,0,0,59
ILOC10201202,21,714,6,745,11,162,0,170,31,792,11,833,9,239,4,260,3,206,5,217,0,9,0,14,10,110,269,388,85,2235,303,2618,37,858,14,905,14,173,0,182,24,814,10,851,5,231,0,239,4,134,4,142,0,5,0,5,12,89,299,392,95,2299,328,2729,50,1577,25,1651,19,331,0,358,56,1609,22,1679,15,469,4,498,14,337,13,365,0,16,0,20,18,199,569,781,176,4536,633,5346
ILOC10201301,50,1494,22,1563,20,289,3,312,73,1766,18,1865,30,461,6,494,19,369,8,390,0,20,0,20,8,218,420,649,198,4615,472,5288,72,2035,14,2113,19,305,5,330,78,1482,21,1572,22,426,9,452,9,261,4,276,0,14,0,14,11,235,450,695,208,4749,500,5454,115,3532,35,3681,35,593,3,638,148,3250,42,3438,51,880,10,943,35,627,13,668,0,30,0,30,17,451,876,1347,405,9368,974,10744
ILOC10201401,29,762,7,794,8,98,0,109,32,621,7,659,18,149,4,170,19,118,0,136,0,8,0,8,8,72,131,205,112,1822,150,2080,38,986,3,1034,8,113,0,119,36,581,8,623,15,112,3,129,7,81,0,96,4,3,0,4,11,81,137,221,114,1956,157,2226,65,1747,10,1825,18,205,3,228,64,1202,15,1280,33,259,4,303,31,197,0,227,4,15,0,11,18,145,261,430,230,3778,303,4309
ILOC10201402,10,389,0,403,3,64,0,72,18,383,6,405,14,112,0,124,14,80,5,93,0,5,0,5,15,61,115,188,67,1096,129,1296,11,477,4,499,6,65,0,65,18,319,3,344,8,113,0,121,4,58,3,65,0,3,0,3,6,57,114,183,52,1096,129,1277,18,869,5,896,10,133,0,138,30,703,10,744,21,224,0,242,18,138,8,164,0,6,0,6,21,116,228,369,123,2193,257,2569
ILOC10300101,37,132,0,169,20,26,0,44,60,100,3,167,27,30,0,57,25,28,0,54,10,4,0,7,17,20,106,143,194,338,107,643,47,175,0,219,32,20,0,56,71,78,0,154,47,27,0,75,22,16,0,44,0,0,0,0,27,26,106,158,247,350,105,703,80,307,5,394,53,45,0,99,137,175,5,317,70,62,0,133,47,45,0,90,8,4,0,9,41,52,208,299,441,689,215,1345
ILOC10300102,3,72,0,79,5,19,0,23,21,59,0,81,8,19,0,26,3,16,3,23,0,0,0,4,3,13,84,91,46,199,85,331,3,98,3,101,7,11,0,20,20,39,3,61,10,15,0,27,3,11,0,16,0,0,0,0,3,6,60,69,46,170,68,287,9,172,3,180,12,29,0,42,43,95,5,137,17,31,0,53,9,26,3,39,4,0,0,3,4,14,143,165,92,370,152,617
ILOC10300201,37,34,0,70,17,5,0,23,52,41,0,88,27,9,0,39,30,14,0,41,0,0,0,4,51,7,17,71,208,108,16,329,26,55,0,82,14,9,0,27,66,28,5,96,32,3,0,33,30,3,0,30,0,0,0,0,18,8,17,41,188,104,18,314,62,87,0,147,28,15,0,47,114,62,5,184,57,18,0,75,56,18,0,71,4,0,0,4,73,12,32,112,397,208,39,646
ILOC10300202,8,38,0,46,0,7,0,12,37,42,0,79,25,20,0,48,25,3,0,27,0,0,0,0,6,3,20,31,102,122,29,247,21,55,0,76,11,11,0,21,19,22,0,45,23,9,0,28,6,4,0,15,0,0,0,0,3,3,11,18,90,99,17,207,27,91,3,119,12,20,0,35,57,68,0,122,53,22,0,74,32,9,0,46,3,0,0,3,5,4,36,49,197,217,42,452
ILOC10300203,11,5,0,13,3,0,0,3,18,3,0,14,3,0,0,4,10,3,0,10,0,0,0,0,4,0,0,5,50,9,0,58,17,3,0,16,4,0,0,3,21,0,0,25,7,0,0,7,13,0,0,13,0,0,0,0,7,3,0,3,59,11,0,73,25,7,0,32,3,0,0,5,34,5,0,42,9,0,0,13,22,3,0,29,0,0,0,0,5,5,0,11,110,17,0,126
ILOC10300301,23,417,6,448,20,130,0,148,62,536,9,612,23,124,3,148,20,107,7,138,3,4,0,10,6,67,200,278,163,1393,224,1776,41,558,8,604,30,106,0,136,61,396,4,461,22,102,0,122,20,66,0,83,0,3,0,3,8,65,169,242,177,1295,183,1658,67,974,13,1054,42,241,3,282,124,933,11,1073,44,220,3,272,43,177,7,224,3,4,0,10,14,133,375,524,336,2685,414,3432
ILOC10300302,0,0,0,0,0,0,0,0,8,0,0,9,10,0,0,14,8,0,0,8,4,0,0,4,8,0,0,8,32,4,0,31,0,0,0,0,0,0,0,0,9,0,0,9,13,0,0,13,5,0,0,5,0,0,0,0,3,0,0,3,28,0,0,28,0,0,0,0,0,0,0,0,14,0,0,18,19,0,0,25,10,0,0,10,3,0,0,3,11,0,0,11,58,4,0,64
ILOC10300401,42,122,3,170,32,28,0,55,66,174,4,244,48,55,0,101,41,76,3,116,3,3,0,6,23,35,146,201,248,492,159,895,82,187,4,270,40,31,0,77,90,146,4,236,41,49,0,85,29,41,3,75,3,4,0,11,27,35,148,208,312,493,157,962,123,314,7,439,68,60,0,132,149,317,6,479,88,99,0,190,73,113,4,192,5,10,0,16,53,69,289,412,557,983,314,1859
ILOC10300402,3,148,3,151,0,26,3,28,4,134,0,141,0,33,0,37,9,23,0,30,0,0,0,3,5,13,54,70,26,378,55,458,9,196,0,204,3,20,0,24,11,85,0,95,4,17,0,21,0,7,0,12,0,0,0,0,3,8,48,59,33,332,57,412,16,342,5,357,6,44,3,48,14,220,0,237,3,52,0,57,11,28,0,37,0,0,0,3,3,20,102,128,50,711,115,871
