ILOC_CODE_2016,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC30801502,7,0,0,12,4,0,0,8,6,5,0,14,3,3,0,7,13,0,0,13,0,0,0,0,3,0,4,9,36,14,4,53,6,6,0,10,3,3,0,5,8,3,0,11,0,0,0,0,5,0,0,5,0,0,0,0,6,0,3,8,32,15,3,48,18,5,0,22,4,0,0,12,17,15,0,27,5,3,0,9,12,0,0,12,0,0,0,0,9,0,4,18,67,27,4,98
ILOC30801503,24,337,8,375,10,57,3,74,21,209,0,234,8,30,0,36,9,87,0,91,0,6,0,6,6,39,58,106,75,775,73,918,24,325,5,352,14,48,0,61,27,180,0,207,8,26,0,30,11,76,0,85,3,10,0,8,7,33,62,101,87,695,69,849,47,661,20,729,25,107,6,135,47,394,0,441,12,56,0,66,13,164,0,180,3,18,0,19,13,69,117,204,158,1467,148,1772
ILOC39499494,67,2025,19,2114,32,452,0,486,73,1369,17,1456,39,403,3,439,29,292,0,325,3,43,0,50,192,459,956,1608,442,5038,998,6478,51,2016,20,2079,25,348,3,368,43,1135,8,1185,18,255,3,272,14,171,3,187,3,21,0,24,110,230,688,1023,258,4167,722,5150,123,4037,36,4199,60,795,3,860,111,2501,21,2635,55,656,8,716,47,462,3,512,7,61,3,70,299,687,1647,2629,698,9201,1719,11623
ILOC39799797,0,24,0,24,0,7,0,7,0,12,0,11,0,3,0,3,0,5,0,5,0,0,0,0,0,4,6,5,0,60,6,67,0,18,0,25,0,5,0,5,0,22,0,26,0,7,0,7,0,6,0,6,0,0,0,0,0,4,9,10,3,69,9,80,0,43,0,45,0,15,0,15,3,34,0,34,0,11,0,11,0,16,0,17,0,0,0,0,0,8,15,22,0,122,15,143
ILOC40100101,29,7460,31,7518,13,673,4,692,10,470,4,491,6,129,0,138,4,118,3,129,0,40,0,38,55,437,1046,1534,121,9333,1087,10543,34,7457,37,7530,15,630,4,651,18,455,9,477,7,114,3,116,4,119,0,119,0,29,0,29,10,222,841,1074,85,9026,894,10008,57,14916,74,15053,31,1307,7,1339,36,926,16,972,15,247,0,257,11,238,4,253,0,71,0,71,65,659,1884,2607,210,18353,1986,20549
ILOC40100102,31,7334,40,7400,20,1307,6,1331,16,896,3,920,6,224,3,229,8,371,9,387,3,120,3,127,3,182,514,695,85,10435,568,11090,33,7540,35,7604,11,1235,12,1258,14,947,7,967,3,253,5,266,7,517,4,527,0,96,0,97,4,212,495,714,69,10798,564,11438,61,14873,68,15003,36,2546,18,2594,29,1847,18,1887,12,478,13,498,11,892,14,919,3,217,3,219,4,394,1007,1407,158,21239,1130,22531
ILOC40100201,26,8054,71,8152,8,2438,26,2471,13,1808,11,1836,3,428,11,440,4,353,4,359,0,21,0,25,4,228,670,902,59,13329,789,14185,24,8797,60,8884,12,2208,21,2236,9,1634,19,1669,0,371,3,376,3,365,11,376,0,25,0,25,0,281,595,883,54,13684,711,14443,56,16847,127,17033,22,4644,49,4709,19,3445,36,3501,3,800,11,816,5,718,13,732,0,44,0,45,5,513,1266,1785,114,27011,1501,28624
ILOC40100202,38,5828,39,5900,16,2458,19,2494,25,1929,29,1977,4,524,10,536,0,379,6,385,0,17,0,21,7,283,595,881,88,11416,693,12198,46,7215,48,7311,23,2214,17,2256,18,1886,23,1922,0,476,4,478,3,393,10,411,4,16,3,23,8,322,627,958,103,12520,726,13353,85,13040,83,13213,45,4673,36,4750,37,3815,46,3897,5,996,15,1018,8,774,17,798,4,33,3,41,18,607,1219,1833,190,23935,1418,25548
ILOC40100301,45,6084,52,6182,41,3877,40,3960,42,3361,24,3430,25,1046,13,1086,18,950,9,978,0,37,0,42,11,416,917,1342,184,15777,1055,17026,57,7481,54,7603,44,3360,34,3441,26,3017,32,3079,11,828,10,852,4,929,18,955,0,32,0,29,6,439,846,1294,161,16083,1005,17249,102,13572,104,13781,88,7240,80,7398,69,6383,63,6510,37,1879,28,1940,26,1877,26,1936,0,68,0,77,21,856,1760,2634,347,31865,2062,34272
ILOC40100401,12,437,12,461,5,286,0,299,14,324,3,341,11,133,3,148,9,181,0,187,3,10,3,17,4,66,84,156,54,1443,110,1607,12,544,6,555,13,298,4,317,22,298,0,318,13,105,3,119,12,142,6,162,3,21,0,26,3,70,89,164,67,1483,107,1660,25,977,18,1017,23,589,7,614,37,620,6,663,19,237,7,264,16,325,9,351,3,35,0,47,12,137,172,321,123,2928,212,3268
